"id","entity-name","year","round"
"CZ","Czech Republic",2010,0
"CZ","Czech Republic",2011,0
"CZ","Czech Republic",2012,0
"CZ","Czech Republic",2013,0
"CZ","Czech Republic",2014,4273035
"CZ","Czech Republic",2015,49500000
"dac-countries-total","DAC Countries, Total",2000,-6664748801
"dac-countries-total","DAC Countries, Total",2001,-1402201511
"dac-countries-total","DAC Countries, Total",2002,3568654699
"dac-countries-total","DAC Countries, Total",2003,-959991298
"dac-countries-total","DAC Countries, Total",2004,-5532562061
"dac-countries-total","DAC Countries, Total",2005,3170032773
"dac-countries-total","DAC Countries, Total",2006,-9900644003
"dac-countries-total","DAC Countries, Total",2007,-5747652637
"dac-countries-total","DAC Countries, Total",2008,-591939055
"dac-countries-total","DAC Countries, Total",2009,7643639433
"dac-countries-total","DAC Countries, Total",2010,5216420049
"dac-countries-total","DAC Countries, Total",2011,6732352070
"dac-countries-total","DAC Countries, Total",2012,8413464087
"dac-countries-total","DAC Countries, Total",2013,5672675076
"dac-countries-total","DAC Countries, Total",2014,3026759368
"dac-countries-total","DAC Countries, Total",2015,5199440000
"DK","Denmark",2000,-4259231
"DK","Denmark",2001,-6467759
"DK","Denmark",2002,-4987480
"DK","Denmark",2003,51081956
"DK","Denmark",2004,22832218
"DK","Denmark",2005,-8843956
"DK","Denmark",2006,-80975882
"DK","Denmark",2007,-108890586
"DK","Denmark",2008,-66483754
"DK","Denmark",2009,5584653
"DK","Denmark",2010,-30243067
"DK","Denmark",2011,8891782
"DK","Denmark",2012,4931585
"DK","Denmark",2013,6955934
"DK","Denmark",2014,12540049
"DK","Denmark",2015,4230000
"ebrd","European Bank for Reconstruction and Development (EBRD)",2000,315999755
"ebrd","European Bank for Reconstruction and Development (EBRD)",2001,312107904
"ebrd","European Bank for Reconstruction and Development (EBRD)",2002,125347299
"ebrd","European Bank for Reconstruction and Development (EBRD)",2003,260760927
"ebrd","European Bank for Reconstruction and Development (EBRD)",2004,936658469
"ebrd","European Bank for Reconstruction and Development (EBRD)",2005,37822745
"ebrd","European Bank for Reconstruction and Development (EBRD)",2006,481204090
"ebrd","European Bank for Reconstruction and Development (EBRD)",2007,1358302931
"ebrd","European Bank for Reconstruction and Development (EBRD)",2008,1826185184
"ebrd","European Bank for Reconstruction and Development (EBRD)",2009,1936479300
"ebrd","European Bank for Reconstruction and Development (EBRD)",2010,1892314475
"ebrd","European Bank for Reconstruction and Development (EBRD)",2011,2039755850
"ebrd","European Bank for Reconstruction and Development (EBRD)",2012,1601010318
"ebrd","European Bank for Reconstruction and Development (EBRD)",2013,1511826138
"ebrd","European Bank for Reconstruction and Development (EBRD)",2014,1574222044
"ebrd","European Bank for Reconstruction and Development (EBRD)",2015,2246700000
"EU","European Union",2000,653362514
"EU","European Union",2001,509891513
"EU","European Union",2002,1260356625
"EU","European Union",2003,1334561977
"EU","European Union",2004,1927970662
"EU","European Union",2005,1625560089
"EU","European Union",2006,1838301255
"EU","European Union",2007,4185509319
"EU","European Union",2008,3677012897
"EU","European Union",2009,3978074421
"EU","European Union",2010,4940147287
"EU","European Union",2011,-662551628
"EU","European Union",2012,-891474104
"EU","European Union",2013,-455542003
"EU","European Union",2014,-1643172673
"EU","European Union",2015,-1356480000
"FI","Finland",2000,3314395
"FI","Finland",2001,7796481
"FI","Finland",2002,4769951
"FI","Finland",2003,8457192
"FI","Finland",2004,-3021223
"FI","Finland",2005,0
"FI","Finland",2006,0
"FI","Finland",2007,90901178
"FI","Finland",2008,19376703
"FI","Finland",2009,120417439
"FI","Finland",2010,39923897
"FI","Finland",2011,938600442
"FI","Finland",2012,10023816
"FI","Finland",2013,-26284655
"FI","Finland",2014,9213237
"FI","Finland",2015,2.1e+07
"FR","France",2000,21093993
"FR","France",2001,-58840522
"FR","France",2002,895660246
"FR","France",2003,3241174458
"FR","France",2004,-223137774
"FR","France",2005,-1408491654
"FR","France",2006,-2299913572
"FR","France",2007,-1035755813
"FR","France",2008,-186231584
"FR","France",2009,247989550
"FR","France",2010,-501879325
"FR","France",2011,-58397019
"FR","France",2012,-467151729
"FR","France",2013,569659176
"FR","France",2014,572360046
"FR","France",2015,392990000
"DE","Germany",2000,-665039297
"DE","Germany",2001,-981593148
"DE","Germany",2002,5153811786
"DE","Germany",2003,-4080911887
"DE","Germany",2004,-1082874717
"DE","Germany",2005,7219482186
"DE","Germany",2006,-5786096473
"DE","Germany",2007,-2300362785
"DE","Germany",2008,-395978805
"DE","Germany",2009,163178348
"DE","Germany",2010,-371169922
"DE","Germany",2011,-351404321
"DE","Germany",2012,-773254842
"DE","Germany",2013,-317587029
"DE","Germany",2014,264793044
"DE","Germany",2015,1516360000
"GR","Greece",2000,3784628
"GR","Greece",2001,0
"GR","Greece",2002,0
"GR","Greece",2003,0
"GR","Greece",2004,3516392
"GR","Greece",2005,0
"GR","Greece",2006,7618372
"GR","Greece",2007,2918030
"GR","Greece",2008,0
"GR","Greece",2009,0
"GR","Greece",2010,0
"GR","Greece",2011,0
"GR","Greece",2012,0
"GR","Greece",2013,0
"GR","Greece",2014,0
"GR","Greece",2015,0
"idb","Inter-American Development Bank (IDB)",2000,5818142185
"idb","Inter-American Development Bank (IDB)",2001,5768479350
"idb","Inter-American Development Bank (IDB)",2002,1917032462
"idb","Inter-American Development Bank (IDB)",2003,1510808913
"idb","Inter-American Development Bank (IDB)",2004,-1566613087
"idb","Inter-American Development Bank (IDB)",2005,-346196613
"idb","Inter-American Development Bank (IDB)",2006,-2628224158
"idb","Inter-American Development Bank (IDB)",2007,1403931550
"idb","Inter-American Development Bank (IDB)",2008,2215356676
"idb","Inter-American Development Bank (IDB)",2009,6505443227
"idb","Inter-American Development Bank (IDB)",2010,4246844218
"idb","Inter-American Development Bank (IDB)",2011,2350051111
"idb","Inter-American Development Bank (IDB)",2012,1733525212
"idb","Inter-American Development Bank (IDB)",2013,1277707477
"idb","Inter-American Development Bank (IDB)",2014,3267868076
"idb","Inter-American Development Bank (IDB)",2015,3945510000
"ibrd","International Bank for Reconstruction and Development (IBRD)",2000,3545233586
"ibrd","International Bank for Reconstruction and Development (IBRD)",2001,2533576851
"ibrd","International Bank for Reconstruction and Development (IBRD)",2002,-4801932698
"ibrd","International Bank for Reconstruction and Development (IBRD)",2003,-8320843804
"ibrd","International Bank for Reconstruction and Development (IBRD)",2004,-3813511455
"ibrd","International Bank for Reconstruction and Development (IBRD)",2005,-2733971273
"ibrd","International Bank for Reconstruction and Development (IBRD)",2006,-5043170999
"ibrd","International Bank for Reconstruction and Development (IBRD)",2007,82669912
"ibrd","International Bank for Reconstruction and Development (IBRD)",2008,3478599788
"ibrd","International Bank for Reconstruction and Development (IBRD)",2009,10937501927
"ibrd","International Bank for Reconstruction and Development (IBRD)",2010,17120895282
"ibrd","International Bank for Reconstruction and Development (IBRD)",2011,1602522423
"ibrd","International Bank for Reconstruction and Development (IBRD)",2012,6995911547
"ibrd","International Bank for Reconstruction and Development (IBRD)",2013,7226379830
"ibrd","International Bank for Reconstruction and Development (IBRD)",2014,7025121520
"ibrd","International Bank for Reconstruction and Development (IBRD)",2015,11588320000
"ifc","International Finance Corporation (IFC)",2000,305418841
"ifc","International Finance Corporation (IFC)",2001,30529087
"ifc","International Finance Corporation (IFC)",2002,42994042
"ifc","International Finance Corporation (IFC)",2003,1495981962
"ifc","International Finance Corporation (IFC)",2004,584957078
"ifc","International Finance Corporation (IFC)",2005,386623059
"ifc","International Finance Corporation (IFC)",2006,1604463937
"ifc","International Finance Corporation (IFC)",2007,1920087822
"ifc","International Finance Corporation (IFC)",2008,2949312961
"ifc","International Finance Corporation (IFC)",2009,2131578032
"ifc","International Finance Corporation (IFC)",2010,1591073253
"ifc","International Finance Corporation (IFC)",2011,1261795992
"ifc","International Finance Corporation (IFC)",2012,1975596740
"ifc","International Finance Corporation (IFC)",2013,1812945182
"ifc","International Finance Corporation (IFC)",2014,0
"ifc","International Finance Corporation (IFC)",2015,0
"ifad","International Fund for Agricultural Development (IFAD)",2000,6284503
"ifad","International Fund for Agricultural Development (IFAD)",2001,8236669
"ifad","International Fund for Agricultural Development (IFAD)",2002,-6455888
"ifad","International Fund for Agricultural Development (IFAD)",2003,-9192232
"ifad","International Fund for Agricultural Development (IFAD)",2004,-10578638
"ifad","International Fund for Agricultural Development (IFAD)",2005,541995
"ifad","International Fund for Agricultural Development (IFAD)",2006,11784081
"ifad","International Fund for Agricultural Development (IFAD)",2007,7159322
"ifad","International Fund for Agricultural Development (IFAD)",2008,20488997
"ifad","International Fund for Agricultural Development (IFAD)",2009,5506972
"ifad","International Fund for Agricultural Development (IFAD)",2010,10536722
"ifad","International Fund for Agricultural Development (IFAD)",2011,10019804
"ifad","International Fund for Agricultural Development (IFAD)",2012,25177105
"ifad","International Fund for Agricultural Development (IFAD)",2013,23870181
"ifad","International Fund for Agricultural Development (IFAD)",2014,58805908
"ifad","International Fund for Agricultural Development (IFAD)",2015,82360000
"islamic-dev-bank","Islamic Development Bank (IsDB)",2000,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2001,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2002,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2003,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2004,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2005,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2006,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2007,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2008,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2009,0
"islamic-dev-bank","Islamic Development Bank (IsDB)",2010,1089841095
"islamic-dev-bank","Islamic Development Bank (IsDB)",2011,1393983048
"islamic-dev-bank","Islamic Development Bank (IsDB)",2012,741320848
"islamic-dev-bank","Islamic Development Bank (IsDB)",2013,677243220
"islamic-dev-bank","Islamic Development Bank (IsDB)",2014,645124583
"islamic-dev-bank","Islamic Development Bank (IsDB)",2015,1035070000
"IT","Italy",2000,-165028156
"IT","Italy",2001,87061703
"IT","Italy",2002,-542135389
"IT","Italy",2003,-338088122
"IT","Italy",2004,532460184
"IT","Italy",2005,-1160308090
"IT","Italy",2006,-959151440
"IT","Italy",2007,-233880681
"IT","Italy",2008,338814496
"IT","Italy",2009,-60763261
"IT","Italy",2010,-133295665
"IT","Italy",2011,-177322724
"IT","Italy",2012,173720361
"IT","Italy",2013,136237549
"IT","Italy",2014,80609128
"IT","Italy",2015,43040000
"JP","Japan",2000,-3882652434
"JP","Japan",2001,-781954601
"JP","Japan",2002,-1590522604
"JP","Japan",2003,-2235030281
"JP","Japan",2004,-1673339510
"JP","Japan",2005,-1225196338
"JP","Japan",2006,2513943788
"JP","Japan",2007,-215590228
"JP","Japan",2008,-2159378216
"JP","Japan",2009,5094609635
"JP","Japan",2010,2314502849
"JP","Japan",2011,2203281816
"JP","Japan",2012,4232162057
"JP","Japan",2013,1261884779
"JP","Japan",2014,-804214541
"JP","Japan",2015,-1055090000
"KR","Korea",2000,-949073111
"KR","Korea",2001,-303605037
"KR","Korea",2002,327722775
"KR","Korea",2003,20962871
"KR","Korea",2004,363546702
"KR","Korea",2005,780278805
"KR","Korea",2006,1030694999
"KR","Korea",2007,965831159
"KR","Korea",2008,2120689391
"KR","Korea",2009,558768591
"KR","Korea",2010,2057086951
"KR","Korea",2011,2291596034
"KR","Korea",2012,1207872999
"KR","Korea",2013,1307025010
"KR","Korea",2014,2077469660
"KR","Korea",2015,3114680000
"KW","Kuwait",2000,0
"KW","Kuwait",2001,0
"KW","Kuwait",2002,0
"KW","Kuwait",2003,0
"KW","Kuwait",2004,0
"KW","Kuwait",2005,0
"KW","Kuwait",2006,0
"KW","Kuwait",2007,0
"KW","Kuwait",2008,0
"KW","Kuwait",2009,0
"KW","Kuwait",2010,0
"KW","Kuwait",2011,0
"KW","Kuwait",2012,0
"KW","Kuwait",2013,0
"KW","Kuwait",2014,0
"KW","Kuwait",2015,0
"LU","Luxembourg",2000,0
"LU","Luxembourg",2001,0
"LU","Luxembourg",2002,0
"LU","Luxembourg",2003,0
"LU","Luxembourg",2004,0
"LU","Luxembourg",2005,0
"LU","Luxembourg",2006,0
"LU","Luxembourg",2007,0
"LU","Luxembourg",2008,0
"LU","Luxembourg",2009,0
"LU","Luxembourg",2010,0
"LU","Luxembourg",2011,0
"LU","Luxembourg",2012,0
"LU","Luxembourg",2013,0
"LU","Luxembourg",2014,0
"LU","Luxembourg",2015,0
"multilateral-total","Multilateral, Total",2000,
"multilateral-total","Multilateral, Total",2001,
"multilateral-total","Multilateral, Total",2002,
"multilateral-total","Multilateral, Total",2003,
"multilateral-total","Multilateral, Total",2004,
"multilateral-total","Multilateral, Total",2005,
"multilateral-total","Multilateral, Total",2006,
"multilateral-total","Multilateral, Total",2007,
"multilateral-total","Multilateral, Total",2008,
"multilateral-total","Multilateral, Total",2009,
"multilateral-total","Multilateral, Total",2010,
"multilateral-total","Multilateral, Total",2011,
"multilateral-total","Multilateral, Total",2012,
"multilateral-total","Multilateral, Total",2013,
"multilateral-total","Multilateral, Total",2014,
"multilateral-total","Multilateral, Total",2015,
"NL","Netherlands",2000,58632995
"NL","Netherlands",2001,64087110
"NL","Netherlands",2002,321513959
"NL","Netherlands",2003,1032432149
"NL","Netherlands",2004,155227733
"NL","Netherlands",2005,153801763
"NL","Netherlands",2006,334682810
"NL","Netherlands",2007,0
"NL","Netherlands",2008,0
"NL","Netherlands",2009,0
"NL","Netherlands",2010,0
"NL","Netherlands",2011,0
"NL","Netherlands",2012,0
"NL","Netherlands",2013,0
"NL","Netherlands",2014,0
"NL","Netherlands",2015,0
"NZ","New Zealand",2000,0
"NZ","New Zealand",2001,0
"NZ","New Zealand",2002,4482005
"NZ","New Zealand",2003,4705710
"NZ","New Zealand",2004,7086676
"NZ","New Zealand",2005,8737283
"NZ","New Zealand",2006,9712454
"NZ","New Zealand",2007,9125255
"NZ","New Zealand",2008,9420159
"NZ","New Zealand",2009,9470388
"NZ","New Zealand",2010,8770065
"NZ","New Zealand",2011,9010950
"NZ","New Zealand",2012,10311537
"NZ","New Zealand",2013,9758175
"NZ","New Zealand",2014,13967192
"NZ","New Zealand",2015,15860000
"non-dac-countries-total","Non-DAC Countries, Total",2000,0
"non-dac-countries-total","Non-DAC Countries, Total",2001,0
"non-dac-countries-total","Non-DAC Countries, Total",2002,0
"non-dac-countries-total","Non-DAC Countries, Total",2003,
"non-dac-countries-total","Non-DAC Countries, Total",2004,
"non-dac-countries-total","Non-DAC Countries, Total",2005,
"non-dac-countries-total","Non-DAC Countries, Total",2006,
"non-dac-countries-total","Non-DAC Countries, Total",2007,
"non-dac-countries-total","Non-DAC Countries, Total",2008,
"non-dac-countries-total","Non-DAC Countries, Total",2009,
"non-dac-countries-total","Non-DAC Countries, Total",2010,
"non-dac-countries-total","Non-DAC Countries, Total",2011,
"non-dac-countries-total","Non-DAC Countries, Total",2012,
"non-dac-countries-total","Non-DAC Countries, Total",2013,
"non-dac-countries-total","Non-DAC Countries, Total",2014,
"non-dac-countries-total","Non-DAC Countries, Total",2015,
"nordic-dev-fund","Nordic Development Fund (NDF)",2000,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2001,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2002,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2003,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2004,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2005,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2006,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2007,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2008,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2009,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2010,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2011,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2012,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2013,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2014,0
"nordic-dev-fund","Nordic Development Fund (NDF)",2015,0
"NO","Norway",2000,0
"NO","Norway",2001,0
"NO","Norway",2002,0
"NO","Norway",2003,325977
"NO","Norway",2004,344182
"NO","Norway",2005,5151038
"NO","Norway",2006,5043816
"NO","Norway",2007,4570978
"NO","Norway",2008,-80188
"NO","Norway",2009,111673
"NO","Norway",2010,558034
"NO","Norway",2011,0
"NO","Norway",2012,0
"NO","Norway",2013,159575
"NO","Norway",2014,-35281385
"NO","Norway",2015,284100000
"ofid","OPEC Fund for International Development (OFID)",2000,0
"ofid","OPEC Fund for International Development (OFID)",2001,0
"ofid","OPEC Fund for International Development (OFID)",2002,0
"ofid","OPEC Fund for International Development (OFID)",2003,0
"ofid","OPEC Fund for International Development (OFID)",2004,0
"ofid","OPEC Fund for International Development (OFID)",2005,0
"ofid","OPEC Fund for International Development (OFID)",2006,0
"ofid","OPEC Fund for International Development (OFID)",2007,0
"ofid","OPEC Fund for International Development (OFID)",2008,0
"ofid","OPEC Fund for International Development (OFID)",2009,246313574
"ofid","OPEC Fund for International Development (OFID)",2010,270796581
"ofid","OPEC Fund for International Development (OFID)",2011,286723938
"ofid","OPEC Fund for International Development (OFID)",2012,88065530
"ofid","OPEC Fund for International Development (OFID)",2013,205953468
"ofid","OPEC Fund for International Development (OFID)",2014,194010155
"ofid","OPEC Fund for International Development (OFID)",2015,254340000
"other-donor-countries","Other donor countries",2000,0
"other-donor-countries","Other donor countries",2001,0
"other-donor-countries","Other donor countries",2002,0
"other-donor-countries","Other donor countries",2003,0
"other-donor-countries","Other donor countries",2004,0
"other-donor-countries","Other donor countries",2005,0
"other-donor-countries","Other donor countries",2006,0
"other-donor-countries","Other donor countries",2007,0
"other-donor-countries","Other donor countries",2008,0
"other-donor-countries","Other donor countries",2009,0
"other-donor-countries","Other donor countries",2010,0
"other-donor-countries","Other donor countries",2011,0
"other-donor-countries","Other donor countries",2012,0
"other-donor-countries","Other donor countries",2013,0
"other-donor-countries","Other donor countries",2014,0
"other-donor-countries","Other donor countries",2015,0
"other-multilaterals","Other Multilaterals",2000,0
"other-multilaterals","Other Multilaterals",2001,0
"other-multilaterals","Other Multilaterals",2002,0
"other-multilaterals","Other Multilaterals",2003,0
"other-multilaterals","Other Multilaterals",2004,0
"other-multilaterals","Other Multilaterals",2005,0
"other-multilaterals","Other Multilaterals",2006,0
"other-multilaterals","Other Multilaterals",2007,0
"other-multilaterals","Other Multilaterals",2008,0
"other-multilaterals","Other Multilaterals",2009,0
