series,id,type,parent,name,columns,description,default-scale,themes,map-theme,theme-order,global-picture-color-ramp,uom,uom_display,source,calculation,format,highorlow,range,interpolated,missing-donor,missing-recipient,laymans-decription,laymans-heading,source-link,staging,theme-year
country-year,gdp-usd-2005,simple,,Gross domestic product (2005 US$),"id, year, value",GDP (constant 2005 US$),log,,,,,US$,US$,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,gdp-usd-2012,simple,,Gross domestic product (2012 US$),"id, year, value",GDP (constant 2012 US$),log,,,,,US$,US$,Development Initiatives calculations based on World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,gdp-usd-current,simple,,Gross domestic product (current US$),"id, year, value",GDP (current US$),log,,,,,US$,US$,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,general-gov-health-exp,simple,,"General Government Expenditure on Health Per Capita, less Social Security (2012 US$)","id, year, value, value-ncu","General Government Expenditure on Health Per Capita, less Social Security (2012 US$)",log,health,,,,US$,US$,WHO Global Health Expenditure Database,IMF World Economic Outlook Databases.,"Data was gathered from the WHO Global Health Expenditure database, and converted to constant 2012 US$ using GDP deflators and exchange rates gathered from the IMF",highisbetter,,,NA,NA,"Government spending on health per person, excluding social security funding.",Government spending on health per person,,,
country-year,gni-pc-usd-current,simple,,Gross National Income Per Capita (current US$),"id, year, value",GNI Per Capita (Current US$),log,,,,,US$,US$,World Bank World Development Indicators,Total GNI divided by the population of each country in each year.,,highisbetter,,,NA,NA,,,,,
country-year,gni-usd-2005,simple,,Gross national income (2005 US$),"id, year, value",GDP (constant 2005 US$),log,,,,,US$,US$,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,gni-usd-current,simple,,Gross national income (current US$),"id, year, value",GNI (current US$),log,,,,,US$,US$,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,gov-revenue-pc-gdp,simple,,"Government revenue (excluding grants), % of GDP","id, year, value, budget-type","Government revenue (excluding grants), % of GDP",lin,dpf,,,,percent,%,Development Initiatives calculations based on IMF Article IV publications,DI calculation of government revenue divided by GDP in NCU as corresponding to fiscal year.,,highisbetter,"15, 20, 25, 30, 40",,NR,NA,"Revenue raised as a proportion of national income (GDP) by the government, including tax and non-tax revenue (grants and borrowing are excluded).","Government revenue (excluding grants), % of GDP",,,2014
country-year,govtspend-pc,simple,,"Government spending per person, constant PPP$","id, year, value","Government spending per person, constant PPP$",log,dpf,,,,2011 PPP$,US$,"Development Initiatives calculations based on IMF World Economic Outlook, OECD DAC and World Bank","Calculated from IMF WEO data on government spending as a proportion of GDP. Receipts of general budget support ODA and disbursements on public debt are subtracted from total government spending before dividing by the population, to avoid double counting when comparing with international resource flows.",,highisbetter,"200, 500, 1000, 1500, 2000, 10000",,NA,NA,"Government spending per person is an estimate of expenditure funded though domestic public resources in per capita terms. See Methodology and data section for more details, link below.","Government spending, PPP$ per person",,,2014
country-year,govtspend-usd,simple,,Government spending,"id, year, value","Total government spending, 2012 US$, net of general budget support ODA and disbursements on debt to the public sector",log,dpf,,,,constant 2012 US$ millions,US$,"Development Initiatives, based on IMF World Economic Outlook, OECD DAC, World Bank",Calculated from IMF WEO data on government spending as a proportion of GDP. Receipts of general budget support ODA and disbursements on public debt are subtracted from total government spending to avoid double counting when comparing with international resource flows.,,highisbetter,"1000, 10000, 50000, 100000, 1000000",,NA,NA,Total spent by the government for the year.,Total government spending per annum,,,
country-year,grants-pct-totalrevenue,simple,,"Grants, % of government revenue","id, year, value, budget-type",Grants from international donors as a proportion of total revenue in each country,lin,dpf,,,,percent,%,Development Initiatives calculations based on IMF Article IV publications,,,lowisbetter,"1, 5, 7.5, 10, 20",,NA,NA,Grants from international donors as a proportion of government revenue (including grants).,"Grants, % of government revenue",,,2014
country-year,health-pc-transferred-oda,simple,,Proportion of transferred ODA spent on health,"id, year, value","Health ODA as a % of total ODA, excluding non-transfer",lin,health,,,,percent,%,Development Initiatives based on OECD DAC data,,,,,,NR,NA,,,,,
country-year,in-oda-and-repayments,composite,,Gross Official Development Assistance received by recipients with capital and interest repayments,"id, year, in-oda-gross, capital-repayment, interest-repayment",Gross ODA received by recipients with capital and interest repayments,lin,,,,,US$,US$,Development Initiatives based on OECD-DAC data,,,,,,NR,NA,,,,,
country-year,in-oda-gross,simple,,"Gross ODA received, US$","id, year, value",Gross ODA received by each recipient country,lin,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,lowisbetter,"250000000, 500000000, 750000000, 1000000000, 3000000000",,NR,NA,"Gross official development assistance (ODA) includes non-monetary transfers (e.g. food aid, technical cooperation) and ODA that resulted in no additional transfer of resources (e.g. debt relief).","Gross ODA received, US$",,,2014
country-year,in-oda-net,simple,,"Net ODA received, US$","id, year, value",Net ODA received by each recipient country,lin,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,lowisbetter,"250000000, 500000000, 750000000, 1000000000, 3000000000",,NR,NA,"Net official development assistance (ODA) includes non-monetary transfers (e.g. food aid, technical cooperation) and ODA that resulted in no additional transfer of resources (e.g. debt relief) minus capital repayments on ODA loans (interest repayments are not subtracted).","Net ODA received, US$",,,
country-year,in-oof-and-repayments,composite,,Gross Other Official Flows received by recipients with capital and interest repayments,"id, year, in-oof-gross, capital-repayment, interest-repayment",Gross OOF received by recipients with capital and interest repayments,lin,,,,,US$,US$,Development Initiatives based on OECD-DAC data,,,,,,NR,NA,,,,,
country-year,income-share-bottom-20pc,embedded,income-share-by-quintile,Share of income of bottom 20% of population,"id, year, value",Share of income of bottom 20% of population,lin,,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,income-share-by-quintile,composite,,Income share by quintile,"id, year, income-share-bottom-20pc, income-share-second-20pc, income-share-third-20pc, income-share-fourth-20pc, income-share-highest-20pc",Percentage of income received by each quintile of the population,lin,,,,,percent,%,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,income-share-top-10pc,simple,,Share of income of top 10% of population,"id, year, value",Share of income of top 10% of population,lin,,,,,percent,%,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,infant-mortality,simple,,"Infant mortality rate (per 1,000 live births)","id, year, value","Infant mortality rate (per 1,000 live births)",lin,health,,,,unit,,World Bank World Development Indicators,,,lowisbetter,,,NA,NA,,,,,
country-year,intlresources-total,simple,,"Total international resource flows, US$","id, year, value",Total international resource flows received,log,intlmix,,,,constant 2012 US$ millions,US$,Development Initiatives calculations based on numerous sources (see notes for International resource flows to and from developing countries data).,"The sum of net inflows of FDI, remittances, gross ODA, gross OOFs, net inflows of portfolio equity, net short-term debt, long-term debt, humanitarian assistance and peacekeeping. This series aims to estimate gross inflows so negative net inflows are excluded (set to zero). Data on peacekeeping is only available for 2012 and humanitarian assistance (excluding that reported as ODA to the OECD DAC) is only available from 2000-2012.",,,"250000000, 500000000, 1000000000, 5000000000, 10000000000",,NR,NA,"Sum of official, commercial and private resource flows received (includes ODA, other official flows, long-term debt from official sources, long-term debt from commercial sources, foreign direct investment, short-term debt (net), portfolio equity (net) and remittances).","Total international resource flows, US$",,,
country-year,life-expectancy-at-birth,simple,,"Life expectancy at birth, total (years)","id, year, value","Life expectancy at birth, total (years)",lin,health,,,,unit,,World Bank World Development Indicators,,,highisbetter,,,NA,NA,,,,,
country-year,long-term-debt,multi,,Long term debt flows,"id, year, destination-institution-type, creditor-type, creditor-institution, financing-type, value","Long term debt flows: gross disbursements, debt servicing and interest payments",lin,,,,,unit,,World Bank International Debt Statistics,,,highisbetter,,,NR,NA,,,http://data.worldbank.org/data-catalog/international-debt-statistics,,
country-year,maternal-mortality,simple,,"Maternal mortality rate (per 100,000 live births)","id, year, value, original-value","Maternal mortality rate (per 100,000 live births)",lin,health,,,,unit,,World Bank World Development Indicators,,,lowisbetter,,1,NA,NA,,,,,
country-year,mean-years-of-schooling,simple,,Mean years of schooling,"id, year, value",Mean years of schooling of adult population,lin,education,,,,Year,,UN HDR,,,highisbetter,,,NA,NA,,,,,
country-year,non-grant-revenue-PPP-capita,simple,,"Government revenue per person (excluding grants), constant PPP$","id, year, value, budget-type","Government revenue per person (excluding grants), constant PPP$",lin,dpf,,,,2012 PPP$,US$,Development Initiatives calculations based on IMF Article IV publications,Government revenue excluding grants divided by the population of each country.,,,"200, 500, 1000, 1500, 2000, 10000",,NA,NA,"Average revenue raised per person by the government, including tax and non-tax revenue (grants and borrowing are excluded).","Government revenue (excluding grants), PPP$ per person",,,2014
country-year,oda,multi,,Official development assistance,"id-from,id-to, year, sector, bundle, channel, value",Gross ODA,lin,official,,,,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,,,NA,NA,,,,,
country-year,oda-per-poor-person,simple,,"ODA per person living on under $1.90 a day, US$","id, year, value",Gross ODA received per person living under $1.90 a day,log,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,"100, 250, 1000, 5000, 500000",,NR,NA,"Official development assistance (ODA) per poor person, calculated as the total net ODA received by a country divided by the number of people in that country living on less than $1.90 per day.","ODA per person living on under $1.90 a day, US$",,,
country-year,out-dac-oda-net,simple,,"Net ODA provided by OECD DAC members, US$","id, year, value",Net ODA disbursed by each donor country,log,official,,,darkpurple,US$,US$,OECD DAC,,,lowisbetter,"1000000000, 3000000000, 5000000000, 7000000000, 10000000000",,NA,NR,"Net official development assistance (ODA) provided by each member of the OECD Development Assistance Committee (DAC). Includes non-monetary transfers (e.g. food aid, technical cooperation) and ODA that resulted in no additional transfer of resources (e.g. debt relief) minus capital repayments on ODA loans (interest repayments are not subtracted).","Net ODA provided by OECD DAC members, US$",,,
country-year,out-debt-relief,multi,,ODA excluding debt relief,"id, year, flow-name, value",Net ODA with debt relief separated,lin,official,,,,US$,US$,OECD DAC,,,,,,NR,NA,,,,,
country-year,out-oda-and-repayments,composite,,Gross Official Development Assistance disbursed by donors with capital and interest repayments,"id, year, out-oda-gross, capital-repayment, interest-repayment",Gross ODA disbursed by donors with capital and interest repayments,lin,,,,,US$,US$,Development Initiatives based on OECD-DAC data,,,,,,NA,NR,,,,,
country-year,out-oda-gross,simple,,,"id, year, value",,log,,,,,,,,,,,,,,,,,,,
country-year,out-oda-net,simple,,"Net ODA provided by OECD DAC members, US$","id, year, value",Net ODA disbursed by each donor country,log,official,,,darkpurple,US$,US$,OECD DAC,,,lowisbetter,"1000000000, 3000000000, 5000000000, 7000000000, 10000000000",,NA,NR,"Net official development assistance (ODA) provided by each member of the OECD Development Assistance Committee (DAC). Includes non-monetary transfers (e.g. food aid, technical cooperation) and ODA that resulted in no additional transfer of resources (e.g. debt relief) minus capital repayments on ODA loans (interest repayments are not subtracted).","Net ODA provided by OECD DAC members, US$",,,
country-year,out-oof-and-repayments,composite,,Gross Other Official Flows disbursed by donors with capital and interest repayments,"id, year, out-oof-gross, capital-repayment, interest-repayment",Gross OOF disbursed by donors with capital and interest repayments,lin,,,,,US$,US$,Development Initiatives based on OECD-DAC data,,,,,,NA,NR,,,,,
country-year,poor-people,simple,,,,,,poorest20pct,,,,,,,,,,,,,,,,,,
country-year,poorest20pct      ,simple,,Poorest 20%,"id, year, value",Number of people in each country that are part of the poorest 20% of people worldwide,log,poorest20pct,,,,unit,,Development Initiatives calculations based on World Bank povcalnet. See our factsheet: http://devinit.org/wp-content/uploads/2015/03/Factsheet-Ending-poverty-by-focusing-on-the-poorest-20-percent-of-people-globally.pdf,See our factsheet: http://devinit.org/wp-content/uploads/2015/03/Factsheet-Ending-poverty-by-focusing-on-the-poorest-20-percent-of-people-globally.pdf,,lowisbetter,"1000000, 5000000, 10000000, 50000000, 150000000",,NR,NA,Number of people in the poorest 20% of the global population (P20),Global poorest 20%,,,
country-year,poorest20pct-percentages,simple,,Proportion of national population in the global poorest 20% of people,"id, year, value",Proportion of people in each country that are part of the poorest 20% of people worldwide,lin,poorest20pct,,,,percent,%,Development Initiatives calculations based on World Bank povcalnet,,,lowisbetter,"10, 20, 40, 60, 80",,NR,NA,,,,,
country-year,population-0-14,embedded,population-by-age,Population: 0-14 years,"id, year, value",Population ages 0-14 (% of total),lin,,,,,percent,%,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-15-64,embedded,population-by-age,Population: 15-64 years,"id, year, value",Population ages 15-64 (% of total),lin,,,,,percent,%,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-65-,embedded,population-by-age,Population: 65+ years,"id, year, value",Population ages 65 and above (% of total),lin,,,,,percent,%,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-by-age,composite,,Population by age group,"id, year, population-0-14, population-15-64, population-65-",Number of people in each of 3 age bands,lin,,,,,unit,,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-rural,embedded,population-rural-urban,Population: rural,"id, year, value",Rural population,log,,,,,unit,,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-rural-urban,composite,,Urban vs rural population level,"id, year, population-rural, population-urban",Urban vs rural population level,log,,,,,unit,,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,population-total,simple,,Total population,"id, year, value",Total population,log,,,,,unit,,World Bank World Development Indicators,World Bank population data for Sudan and South Sudan is reported separately for all years.,,,,,NA,NA,,,,,
country-year,population-urban,embedded,population-rural-urban,Population: urban,"id, year, value",Urban population,log,,,,,unit,,World Bank World Development Indicators,,,,,,NA,NA,,,,,
country-year,poverty-125,simple,,,,,,poorest20pct,,,,percent,%,,,,,,,,,,,,,
country-year,poverty-200,simple,,,,,,poorest20pct,,,,percent,%,,,,,,,,,,,,,
country-year,poverty-gap-125,simple,,Poverty gap at $1.25 day,"id, year, value, original-value","Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",log,poorest20pct,,,,percent,%,World Bank data bank,,,lowisbetter,"10, 20, 30, 40, 50",1,NR,NA,Average daily consumption of individuals living on less than $1.25-a-day (2005 PPP$).,,http://data.worldbank.org/indicator/SI.POV.GAPS,,
country-year,poverty-gap-2,simple,,Poverty gap at $2 day,"id, year, value, original-value","Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",log,poorest20pct,,,,percent,%,World Bank data bank,,,lowisbetter,,1,NR,NA,,,http://data.worldbank.org/indicator/SI.POV.GAP2,,
country-year,primary-school-enrolment,simple,,"School enrolment, primary (% net)","id, year, value, original-value","School enrolment, primary (% net)",lin,education,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,1,NA,NA,,,,,
country-year,profits-pct-fdi,simple,,"Profits on foreign direct investment, % of new investments","id, year, value",The outflow of profits on FDI as a proportion of new investments in the same year (note that negative values are set to zero),lin,intlmix,,,,percent,%,Development Initiatives calculations based on World Bank and UNCTAD,This indicator is the ratio of the outflow of profits on foreign direct investment leaving each country to the total of new foreign direct investments in the same countries each year.,,,"25, 50, 75, 100, 200",,NR,NA,Outflow of profits on foreign direct investment as a proportion of new foreign direct investment received in each country in the same year.,"Profits on foreign direct investment, % of new investments",,,
country-year,rems-pp,simple,,"Remittances received per person, US$","id, year, value",Remittances per person,lin,intlmix,,,,US$,US$,Development Initiatives calculations based on World Bank,Remittances received divided by the total population of each country.,,,"50, 100, 200, 300, 500",,NR,NA,Volume of remittances received in each country divided by the country's population (includes personal transfers and income of workers employed in an economy where they are not resident).,"Remittances received per person, US$",,,
country-year,spotlight-on-kenya/kenya-births-pc-skilled,simple,,Percent of births delivered by a skilled provider,"id, year, value",Percent of live births in the five years preceding the survey delivered by skilled providers,lin,kenya-health,kenya-health,12,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 60, 70",,NA,NA,Percent of live births in the five years preceding the survey delivered by skilled providers,Percent of births delivered by a skilled provider,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-electricity,simple,,Access to electricity,"id, year, value",Access to electricity,lin,kenya-infra,kenya-infra,1,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"5, 7.5, 10, 12.5",,NA,NA,Access to electricity,Access to electricity,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-electricity-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-electricity-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-fertility-rate,simple,,Total fertility rate,"id, year, value",The number of children who would be born per woman if she were to pass through the childbearing years bearing children according to a current schedule of age-specific fertility rates,lin,kenya-health,kenya-health,13,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"3, 4, 5, 6",,NA,NA,The number of children who would be born per woman if she were to pass through the childbearing years bearing children according to a current schedule of age-specific fertility rates,Total fertility rate,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani,simple,,Improved sanitation,"id, year, value",Improved sanitation,lin,kenya-infra,kenya-infra,2,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"55, 80, 96, 98",,NA,NA,Improved sanitation,Improved sanitation,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water,simple,,Improved water,"id, year, value",Improved water,lin,kenya-infra,kenya-infra,3,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"51, 62, 69, 76",,NA,NA,Improved water,Improved water,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads,simple,,Paved roads,"id, year, value",Paved roads,lin,kenya-infra,kenya-infra,4,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"0.3, 0.8, 2, 4.5",,NA,NA,Paved roads,Paved roads,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-female-know-hiv,simple,,Percent of women who know where to get an HIV test,"id, year, value",Percent of women who know where to get an HIV test,lin,kenya-health,kenya-health,7,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"85, 90, 92.5, 95",,NA,NA,Percent of women who know where to get an HIV test,Percent of women who know where to get an HIV test,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-female-tested-hiv,simple,,Percent of women tested for HIV,"id, year, value",Percent of women tested for HIV in the last 12 months,lin,kenya-health,kenya-health,6,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 55, 60",,NA,NA,Percent of women tested for HIV in the last 12 months,Percent of women tested for HIV,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-house-malaria-nets,simple,,Percent of households with at least one bed net for every two people,"id, year, value",Percent of households with at least one insecticide-treated bed net for every two person staying in the household the previous night,lin,kenya-health,kenya-health,8,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"20, 30, 40, 50",,NA,NA,Percent of households with at least one insecticide-treated bed net for every two person staying in the household the previous night,Percent of households with at least one bed net for every two people,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-male-know-hiv,simple,,Percent of men who know where to get an HIV test,"id, year, value",Percent of men who know where to get an HIV test,lin,kenya-health,kenya-health,5,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"85, 90, 92.5, 95",,NA,NA,Percent of men who know where to get an HIV test,Percent of men who know where to get an HIV test,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-male-tested-hiv,simple,,Percent of men tested for HIV,"id, year, value",Percent of men tested for HIV in the last 12 months,lin,kenya-health,kenya-health,4,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 55, 60",,NA,NA,Percent of men tested for HIV in the last 12 months,Percent of men tested for HIV,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-modern-contra,simple,,Percent using modern contraception,"id, year, value",Percent using modern contraception,lin,kenya-health,kenya-health,3,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"30, 40, 50, 60",,NA,NA,Percent using modern contraception,Percent using modern contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-no-contra,simple,,Percent not using contraception,"id, year, value",Percent not using contraception,lin,kenya-health,kenya-health,1,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"50, 60, 70, 80",,NA,NA,Percent not using contraception,Percent not using contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-trad-contra,simple,,Percent using traditional contraception,"id, year, value",Percent using traditional contraception,lin,kenya-health,kenya-health,2,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"2, 4, 6, 8",,NA,NA,Percent using traditional contraception,Percent using traditional contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-female,simple,,Female population,"id, year, value",Female population,lin,kenya-pop,kenya-pop,4,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"250000, 350000, 450000, 550000",,NA,NA,Female population,Female population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-male,simple,,Male population,"id, year, value",Male population,lin,kenya-pop,kenya-pop,5,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"250000, 350000, 450000, 550000",,NA,NA,Male population,Male population,http://devinit.org,1,
