id,parent,channel,year,value
gavi,Global Alliance for Vaccines and Immunization,Multilateral Institutions,2015,1449328790.00
gavi,Global Alliance for Vaccines and Immunization,Non-governmental organisations (NGOs) and civil society,2015,0.00
gavi,Global Alliance for Vaccines and Immunization,Other,2015,45700280.00
gavi,Global Alliance for Vaccines and Immunization,Public-private partnerships,2015,0.00
gavi,Global Alliance for Vaccines and Immunization,Public sector,2015,118735940.00
gavi,Global Alliance for Vaccines and Immunization,To be defined,2015,111.42
gef,Global Environment Facility,Multilateral Institutions,2015,808874766.40
gef,Global Environment Facility,Non-governmental organisations (NGOs) and civil society,2015,2926089.00
gef,Global Environment Facility,Other,2015,0.00
gef,Global Environment Facility,Public-private partnerships,2015,1267270.00
gef,Global Environment Facility,Public sector,2015,0.00
gef,Global Environment Facility,To be defined,2015,0.00
gggi,Global Green Growth Institute,Multilateral Institutions,2015,0.00
gggi,Global Green Growth Institute,Non-governmental organisations (NGOs) and civil society,2015,0.00
gggi,Global Green Growth Institute,Other,2015,0.00
gggi,Global Green Growth Institute,Public-private partnerships,2015,0.00
gggi,Global Green Growth Institute,Public sector,2015,0.00
gggi,Global Green Growth Institute,To be defined,2015,9.07
global-fund,Global Fund,Multilateral Institutions,2015,494839590.00
global-fund,Global Fund,Non-governmental organisations (NGOs) and civil society,2015,775832920.00
global-fund,Global Fund,Other,2015,9959470.00
global-fund,Global Fund,Public-private partnerships,2015,11453780.00
global-fund,Global Fund,Public sector,2015,1947116000.00
global-fund,Global Fund,To be defined,2015,0.00
iaea,International Atomic Energy Agency,Multilateral Institutions,2015,0.00
iaea,International Atomic Energy Agency,Non-governmental organisations (NGOs) and civil society,2015,0.00
iaea,International Atomic Energy Agency,Other,2015,0.00
iaea,International Atomic Energy Agency,Public-private partnerships,2015,0.00
iaea,International Atomic Energy Agency,Public sector,2015,0.00
iaea,International Atomic Energy Agency,To be defined,2015,63.68
ibrd,World Bank Group,Multilateral Institutions,2015,0.00
ibrd,World Bank Group,Non-governmental organisations (NGOs) and civil society,2015,0.00
ibrd,World Bank Group,Other,2015,0.00
ibrd,World Bank Group,Public-private partnerships,2015,0.00
ibrd,World Bank Group,Public sector,2015,0.00
ibrd,World Bank Group,To be defined,2015,0.00
ida,World Bank Group,Multilateral Institutions,2015,534823432.55
ida,World Bank Group,Non-governmental organisations (NGOs) and civil society,2015,0.00
ida,World Bank Group,Other,2015,0.00
ida,World Bank Group,Public-private partnerships,2015,0.00
ida,World Bank Group,Public sector,2015,12839869251.26
ida,World Bank Group,To be defined,2015,0.00
idb,Inter-American Development Bank,Multilateral Institutions,2015,0.00
idb,Inter-American Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
idb,Inter-American Development Bank,Other,2015,5621990.00
idb,Inter-American Development Bank,Public-private partnerships,2015,0.00
idb,Inter-American Development Bank,Public sector,2015,96106460.00
idb,Inter-American Development Bank,To be defined,2015,17.43
idb-special-fund,Inter-American Development Bank,Multilateral Institutions,2015,791000000.00
idb-special-fund,Inter-American Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
idb-special-fund,Inter-American Development Bank,Other,2015,12463610.00
idb-special-fund,Inter-American Development Bank,Public-private partnerships,2015,0.00
idb-special-fund,Inter-American Development Bank,Public sector,2015,1158610990.00
idb-special-fund,Inter-American Development Bank,To be defined,2015,44.69
ifad,International Fund for Agricultural Development,Multilateral Institutions,2015,0.00
ifad,International Fund for Agricultural Development,Non-governmental organisations (NGOs) and civil society,2015,0.00
ifad,International Fund for Agricultural Development,Other,2015,0.00
ifad,International Fund for Agricultural Development,Public-private partnerships,2015,0.00
ifad,International Fund for Agricultural Development,Public sector,2015,0.00
ifad,International Fund for Agricultural Development,To be defined,2015,546.08
ifc,World Bank Group,Multilateral Institutions,2015,0.00
ifc,World Bank Group,Non-governmental organisations (NGOs) and civil society,2015,0.00
ifc,World Bank Group,Other,2015,0.00
ifc,World Bank Group,Public-private partnerships,2015,0.00
ifc,World Bank Group,Public sector,2015,0.00
ifc,World Bank Group,To be defined,2015,0.00
imf,International Monetary Fund,Multilateral Institutions,2015,0.00
imf,International Monetary Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
imf,International Monetary Fund,Other,2015,0.00
imf,International Monetary Fund,Public-private partnerships,2015,0.00
imf,International Monetary Fund,Public sector,2015,0.00
imf,International Monetary Fund,To be defined,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,Multilateral Institutions,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,Other,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,Public-private partnerships,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,Public sector,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,To be defined,2015,1471.76
international-labour-organisation,International Labour Organisation,Multilateral Institutions,2015,285735420.00
international-labour-organisation,International Labour Organisation,Non-governmental organisations (NGOs) and civil society,2015,0.00
international-labour-organisation,International Labour Organisation,Other,2015,0.00
international-labour-organisation,International Labour Organisation,Public-private partnerships,2015,0.00
international-labour-organisation,International Labour Organisation,Public sector,2015,0.00
international-labour-organisation,International Labour Organisation,To be defined,2015,0.00
islamic-dev-bank,Islamic Development Bank,Multilateral Institutions,2015,0.00
islamic-dev-bank,Islamic Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
islamic-dev-bank,Islamic Development Bank,Other,2015,0.00
islamic-dev-bank,Islamic Development Bank,Public-private partnerships,2015,0.00
islamic-dev-bank,Islamic Development Bank,Public sector,2015,0.00
islamic-dev-bank,Islamic Development Bank,To be defined,2015,194.86
montreal-protocol,Montreal Protocol,Multilateral Institutions,2015,45297760.00
montreal-protocol,Montreal Protocol,Non-governmental organisations (NGOs) and civil society,2015,0.00
montreal-protocol,Montreal Protocol,Other,2015,0.00
montreal-protocol,Montreal Protocol,Public-private partnerships,2015,0.00
montreal-protocol,Montreal Protocol,Public sector,2015,0.00
montreal-protocol,Montreal Protocol,To be defined,2015,0.00
nordic-dev-fund,Nordic Development Fund,Multilateral Institutions,2015,34064955.42
nordic-dev-fund,Nordic Development Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
nordic-dev-fund,Nordic Development Fund,Other,2015,0.00
nordic-dev-fund,Nordic Development Fund,Public-private partnerships,2015,0.00
nordic-dev-fund,Nordic Development Fund,Public sector,2015,2218520.00
nordic-dev-fund,Nordic Development Fund,To be defined,2015,2.90
ofid,OPEC Fund for International Development,Multilateral Institutions,2015,0.00
ofid,OPEC Fund for International Development,Non-governmental organisations (NGOs) and civil society,2015,0.00
ofid,OPEC Fund for International Development,Other,2015,0.00
ofid,OPEC Fund for International Development,Public-private partnerships,2015,0.00
ofid,OPEC Fund for International Development,Public sector,2015,1389040.00
ofid,OPEC Fund for International Development,To be defined,2015,394.08
osce,Organization for Security and Co-operation in Europe,Multilateral Institutions,2015,0.00
osce,Organization for Security and Co-operation in Europe,Non-governmental organisations (NGOs) and civil society,2015,0.00
osce,Organization for Security and Co-operation in Europe,Other,2015,0.00
osce,Organization for Security and Co-operation in Europe,Public-private partnerships,2015,0.00
osce,Organization for Security and Co-operation in Europe,Public sector,2015,0.00
osce,Organization for Security and Co-operation in Europe,To be defined,2015,114.98
un-agencies,UN Agencies,Multilateral Institutions,2015,0.00
un-agencies,UN Agencies,Non-governmental organisations (NGOs) and civil society,2015,0.00
un-agencies,UN Agencies,Other,2015,0.00
un-agencies,UN Agencies,Public-private partnerships,2015,0.00
un-agencies,UN Agencies,Public sector,2015,0.00
un-agencies,UN Agencies,To be defined,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Multilateral Institutions,2015,84987510.00
unaids,The Joint United Nations Programme on HIV/AIDS,Non-governmental organisations (NGOs) and civil society,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Other,2015,156330013.00
unaids,The Joint United Nations Programme on HIV/AIDS,Public-private partnerships,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Public sector,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,To be defined,2015,0.00
undp,United Nations Development Programme,Multilateral Institutions,2015,232419345.70
undp,United Nations Development Programme,Non-governmental organisations (NGOs) and civil society,2015,2603729.91
undp,United Nations Development Programme,Other,2015,0.00
undp,United Nations Development Programme,Public-private partnerships,2015,0.00
undp,United Nations Development Programme,Public sector,2015,182268137.56
undp,United Nations Development Programme,To be defined,2015,3.06
unece,United Nations Economic Commission for Europe,Multilateral Institutions,2015,0.00
unece,United Nations Economic Commission for Europe,Non-governmental organisations (NGOs) and civil society,2015,0.00
unece,United Nations Economic Commission for Europe,Other,2015,0.00
unece,United Nations Economic Commission for Europe,Public-private partnerships,2015,0.00
unece,United Nations Economic Commission for Europe,Public sector,2015,0.00
unece,United Nations Economic Commission for Europe,To be defined,2015,13.76
unep,United Nations Environment Programme,Multilateral Institutions,2015,0.00
unep,United Nations Environment Programme,Non-governmental organisations (NGOs) and civil society,2015,0.00
unep,United Nations Environment Programme,Other,2015,0.00
unep,United Nations Environment Programme,Public-private partnerships,2015,0.00
unep,United Nations Environment Programme,Public sector,2015,0.00
unep,United Nations Environment Programme,To be defined,2015,125.18
unfpa,United Nations Population Fund,Multilateral Institutions,2015,1276172.77
unfpa,United Nations Population Fund,Non-governmental organisations (NGOs) and civil society,2015,35624453.27
unfpa,United Nations Population Fund,Other,2015,0.00
unfpa,United Nations Population Fund,Public-private partnerships,2015,0.00
unfpa,United Nations Population Fund,Public sector,2015,46342469.13
unfpa,United Nations Population Fund,To be defined,2015,230.03
unhcr,United Nations High Commissioner for Refugees,Multilateral Institutions,2015,0.00
unhcr,United Nations High Commissioner for Refugees,Non-governmental organisations (NGOs) and civil society,2015,0.00
unhcr,United Nations High Commissioner for Refugees,Other,2015,0.00
unhcr,United Nations High Commissioner for Refugees,Public-private partnerships,2015,0.00
unhcr,United Nations High Commissioner for Refugees,Public sector,2015,0.00
unhcr,United Nations High Commissioner for Refugees,To be defined,2015,460.72
unicef,United Nations Children's Fund,Multilateral Institutions,2015,0.00
unicef,United Nations Children's Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
unicef,United Nations Children's Fund,Other,2015,0.00
unicef,United Nations Children's Fund,Public-private partnerships,2015,0.00
unicef,United Nations Children's Fund,Public sector,2015,0.00
unicef,United Nations Children's Fund,To be defined,2015,1401.93
unpbf,United Nations Peacebuilding Fund,Multilateral Institutions,2015,70588541.30
unpbf,United Nations Peacebuilding Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
unpbf,United Nations Peacebuilding Fund,Other,2015,1164594.00
unpbf,United Nations Peacebuilding Fund,Public-private partnerships,2015,0.00
unpbf,United Nations Peacebuilding Fund,Public sector,2015,0.00
unpbf,United Nations Peacebuilding Fund,To be defined,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Multilateral Institutions,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Non-governmental organisations (NGOs) and civil society,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Other,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Public-private partnerships,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Public sector,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,To be defined,2015,771.38
unta,United Nations Regular Programme for Technical Assistance,Multilateral Institutions,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,Non-governmental organisations (NGOs) and civil society,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,Other,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,Public-private partnerships,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,Public sector,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,To be defined,2015,0.00
wfp,World Food Programme,Multilateral Institutions,2015,0.00
wfp,World Food Programme,Non-governmental organisations (NGOs) and civil society,2015,0.00
wfp,World Food Programme,Other,2015,0.00
wfp,World Food Programme,Public-private partnerships,2015,0.00
wfp,World Food Programme,Public sector,2015,0.00
wfp,World Food Programme,To be defined,2015,286.57
who,World Health Organisation,Multilateral Institutions,2015,0.00
who,World Health Organisation,Non-governmental organisations (NGOs) and civil society,2015,0.00
who,World Health Organisation,Other,2015,0.00
who,World Health Organisation,Public-private partnerships,2015,0.00
who,World Health Organisation,Public sector,2015,0.00
who,World Health Organisation,To be defined,2015,663.96
