id,parent,channel,year,value
EU,EU Institutions,Other,2014,1819673292.16
EU,EU Institutions,Public-private partnerships,2014,21774396.27
EU,EU Institutions,Public sector,2014,5692748301.20
EU,EU Institutions,To be defined,2014,0.00
fao,Food and Agriculture Organisation,Multilateral Institutions,2014,0.00
fao,Food and Agriculture Organisation,Non-governmental organisations (NGOs) and civil society,2014,0.00
fao,Food and Agriculture Organisation,Other,2014,0.00
fao,Food and Agriculture Organisation,Public-private partnerships,2014,0.00
fao,Food and Agriculture Organisation,Public sector,2014,0.00
fao,Food and Agriculture Organisation,To be defined,2014,0.00
gavi,Global Alliance for Vaccines and Immunization,Multilateral Institutions,2014,1095013420.99
gavi,Global Alliance for Vaccines and Immunization,Non-governmental organisations (NGOs) and civil society,2014,0.00
gavi,Global Alliance for Vaccines and Immunization,Other,2014,31134269.72
gavi,Global Alliance for Vaccines and Immunization,Public-private partnerships,2014,0.00
gavi,Global Alliance for Vaccines and Immunization,Public sector,2014,179152148.39
gavi,Global Alliance for Vaccines and Immunization,To be defined,2014,96.10
gef,Global Environment Facility,Multilateral Institutions,2014,599953577.46
gef,Global Environment Facility,Non-governmental organisations (NGOs) and civil society,2014,0.00
gef,Global Environment Facility,Other,2014,0.00
gef,Global Environment Facility,Public-private partnerships,2014,0.00
gef,Global Environment Facility,Public sector,2014,0.00
gef,Global Environment Facility,To be defined,2014,0.00
gggi,Global Green Growth Institute,Multilateral Institutions,2014,0.00
gggi,Global Green Growth Institute,Non-governmental organisations (NGOs) and civil society,2014,0.00
gggi,Global Green Growth Institute,Other,2014,0.00
gggi,Global Green Growth Institute,Public-private partnerships,2014,0.00
gggi,Global Green Growth Institute,Public sector,2014,0.00
gggi,Global Green Growth Institute,To be defined,2014,15.38
global-fund,Global Fund,Multilateral Institutions,2014,482873210.75
global-fund,Global Fund,Non-governmental organisations (NGOs) and civil society,2014,661438199.91
global-fund,Global Fund,Other,2014,9769655.60
global-fund,Global Fund,Public-private partnerships,2014,6255390.52
global-fund,Global Fund,Public sector,2014,1699595208.19
global-fund,Global Fund,To be defined,2014,0.00
iaea,International Atomic Energy Agency,Multilateral Institutions,2014,0.00
iaea,International Atomic Energy Agency,Non-governmental organisations (NGOs) and civil society,2014,0.00
iaea,International Atomic Energy Agency,Other,2014,0.00
iaea,International Atomic Energy Agency,Public-private partnerships,2014,0.00
iaea,International Atomic Energy Agency,Public sector,2014,0.00
iaea,International Atomic Energy Agency,To be defined,2014,0.00
ibrd,World Bank Group,Multilateral Institutions,2014,0.00
ibrd,World Bank Group,Non-governmental organisations (NGOs) and civil society,2014,0.00
ibrd,World Bank Group,Other,2014,0.00
ibrd,World Bank Group,Public-private partnerships,2014,0.00
ibrd,World Bank Group,Public sector,2014,0.00
ibrd,World Bank Group,To be defined,2014,0.00
ida,World Bank Group,Multilateral Institutions,2014,9595673.53
ida,World Bank Group,Non-governmental organisations (NGOs) and civil society,2014,0.00
ida,World Bank Group,Other,2014,0.00
ida,World Bank Group,Public-private partnerships,2014,0.00
ida,World Bank Group,Public sector,2014,13619991379.67
ida,World Bank Group,To be defined,2014,0.00
idb,Inter-American Development Bank,Multilateral Institutions,2014,0.00
idb,Inter-American Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
idb,Inter-American Development Bank,Other,2014,0.00
idb,Inter-American Development Bank,Public-private partnerships,2014,0.00
idb,Inter-American Development Bank,Public sector,2014,0.00
idb,Inter-American Development Bank,To be defined,2014,0.00
idb-special-fund,Inter-American Development Bank,Multilateral Institutions,2014,0.00
idb-special-fund,Inter-American Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
idb-special-fund,Inter-American Development Bank,Other,2014,0.00
idb-special-fund,Inter-American Development Bank,Public-private partnerships,2014,0.00
idb-special-fund,Inter-American Development Bank,Public sector,2014,1053619445.57
idb-special-fund,Inter-American Development Bank,To be defined,2014,866.50
ifad,International Fund for Agricultural Development,Multilateral Institutions,2014,0.00
ifad,International Fund for Agricultural Development,Non-governmental organisations (NGOs) and civil society,2014,0.00
ifad,International Fund for Agricultural Development,Other,2014,0.00
ifad,International Fund for Agricultural Development,Public-private partnerships,2014,0.00
ifad,International Fund for Agricultural Development,Public sector,2014,0.00
ifad,International Fund for Agricultural Development,To be defined,2014,0.00
ifc,World Bank Group,Multilateral Institutions,2014,0.00
ifc,World Bank Group,Non-governmental organisations (NGOs) and civil society,2014,0.00
ifc,World Bank Group,Other,2014,0.00
ifc,World Bank Group,Public-private partnerships,2014,0.00
ifc,World Bank Group,Public sector,2014,0.00
ifc,World Bank Group,To be defined,2014,0.00
imf,International Monetary Fund,Multilateral Institutions,2014,0.00
imf,International Monetary Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
imf,International Monetary Fund,Other,2014,0.00
imf,International Monetary Fund,Public-private partnerships,2014,0.00
imf,International Monetary Fund,Public sector,2014,0.00
imf,International Monetary Fund,To be defined,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,Multilateral Institutions,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,Other,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,Public-private partnerships,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,Public sector,2014,0.00
imf-concessional-trust-funds,International Monetary Fund,To be defined,2014,824.24
international-labour-organisation,International Labour Organisation,Multilateral Institutions,2014,0.00
international-labour-organisation,International Labour Organisation,Non-governmental organisations (NGOs) and civil society,2014,0.00
international-labour-organisation,International Labour Organisation,Other,2014,0.00
international-labour-organisation,International Labour Organisation,Public-private partnerships,2014,0.00
international-labour-organisation,International Labour Organisation,Public sector,2014,0.00
international-labour-organisation,International Labour Organisation,To be defined,2014,0.00
islamic-dev-bank,Islamic Development Bank,Multilateral Institutions,2014,0.00
islamic-dev-bank,Islamic Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
islamic-dev-bank,Islamic Development Bank,Other,2014,0.00
islamic-dev-bank,Islamic Development Bank,Public-private partnerships,2014,0.00
islamic-dev-bank,Islamic Development Bank,Public sector,2014,0.00
islamic-dev-bank,Islamic Development Bank,To be defined,2014,243.58
montreal-protocol,Montreal Protocol,Multilateral Institutions,2014,0.00
montreal-protocol,Montreal Protocol,Non-governmental organisations (NGOs) and civil society,2014,0.00
montreal-protocol,Montreal Protocol,Other,2014,0.00
montreal-protocol,Montreal Protocol,Public-private partnerships,2014,0.00
montreal-protocol,Montreal Protocol,Public sector,2014,0.00
montreal-protocol,Montreal Protocol,To be defined,2014,0.00
nordic-dev-fund,Nordic Development Fund,Multilateral Institutions,2014,40080859.22
nordic-dev-fund,Nordic Development Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
nordic-dev-fund,Nordic Development Fund,Other,2014,0.00
nordic-dev-fund,Nordic Development Fund,Public-private partnerships,2014,0.00
nordic-dev-fund,Nordic Development Fund,Public sector,2014,0.00
nordic-dev-fund,Nordic Development Fund,To be defined,2014,9.05
ofid,OPEC Fund for International Development,Multilateral Institutions,2014,0.00
ofid,OPEC Fund for International Development,Non-governmental organisations (NGOs) and civil society,2014,0.00
ofid,OPEC Fund for International Development,Other,2014,99057.48
ofid,OPEC Fund for International Development,Public-private partnerships,2014,0.00
ofid,OPEC Fund for International Development,Public sector,2014,1994561.92
ofid,OPEC Fund for International Development,To be defined,2014,453.83
osce,Organization for Security and Co-operation in Europe,Multilateral Institutions,2014,0.00
osce,Organization for Security and Co-operation in Europe,Non-governmental organisations (NGOs) and civil society,2014,0.00
osce,Organization for Security and Co-operation in Europe,Other,2014,0.00
osce,Organization for Security and Co-operation in Europe,Public-private partnerships,2014,0.00
osce,Organization for Security and Co-operation in Europe,Public sector,2014,0.00
osce,Organization for Security and Co-operation in Europe,To be defined,2014,129.28
un-agencies,UN Agencies,Multilateral Institutions,2014,0.00
un-agencies,UN Agencies,Non-governmental organisations (NGOs) and civil society,2014,0.00
un-agencies,UN Agencies,Other,2014,0.00
un-agencies,UN Agencies,Public-private partnerships,2014,0.00
un-agencies,UN Agencies,Public sector,2014,0.00
un-agencies,UN Agencies,To be defined,2014,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Multilateral Institutions,2014,86482150.11
unaids,The Joint United Nations Programme on HIV/AIDS,Non-governmental organisations (NGOs) and civil society,2014,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Other,2014,149940328.14
unaids,The Joint United Nations Programme on HIV/AIDS,Public-private partnerships,2014,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,Public sector,2014,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,To be defined,2014,0.00
undp,United Nations Development Programme,Multilateral Institutions,2014,245909780.88
undp,United Nations Development Programme,Non-governmental organisations (NGOs) and civil society,2014,1098328.33
undp,United Nations Development Programme,Other,2014,0.00
undp,United Nations Development Programme,Public-private partnerships,2014,0.00
undp,United Nations Development Programme,Public sector,2014,209140555.63
undp,United Nations Development Programme,To be defined,2014,2.46
unece,United Nations Economic Commission for Europe,Multilateral Institutions,2014,0.00
unece,United Nations Economic Commission for Europe,Non-governmental organisations (NGOs) and civil society,2014,0.00
unece,United Nations Economic Commission for Europe,Other,2014,0.00
unece,United Nations Economic Commission for Europe,Public-private partnerships,2014,0.00
unece,United Nations Economic Commission for Europe,Public sector,2014,0.00
unece,United Nations Economic Commission for Europe,To be defined,2014,13.88
unep,United Nations Environment Programme,Multilateral Institutions,2014,0.00
unep,United Nations Environment Programme,Non-governmental organisations (NGOs) and civil society,2014,0.00
unep,United Nations Environment Programme,Other,2014,0.00
unep,United Nations Environment Programme,Public-private partnerships,2014,0.00
unep,United Nations Environment Programme,Public sector,2014,0.00
unep,United Nations Environment Programme,To be defined,2014,0.00
unfpa,United Nations Population Fund,Multilateral Institutions,2014,1181841.83
unfpa,United Nations Population Fund,Non-governmental organisations (NGOs) and civil society,2014,36808697.79
unfpa,United Nations Population Fund,Other,2014,0.00
unfpa,United Nations Population Fund,Public-private partnerships,2014,0.00
unfpa,United Nations Population Fund,Public sector,2014,54063607.31
unfpa,United Nations Population Fund,To be defined,2014,244.75
unhcr,United Nations High Commissioner for Refugees,Multilateral Institutions,2014,0.00
unhcr,United Nations High Commissioner for Refugees,Non-governmental organisations (NGOs) and civil society,2014,0.00
unhcr,United Nations High Commissioner for Refugees,Other,2014,0.00
unhcr,United Nations High Commissioner for Refugees,Public-private partnerships,2014,0.00
unhcr,United Nations High Commissioner for Refugees,Public sector,2014,0.00
unhcr,United Nations High Commissioner for Refugees,To be defined,2014,475.56
unicef,United Nations Children's Fund,Multilateral Institutions,2014,0.00
unicef,United Nations Children's Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
unicef,United Nations Children's Fund,Other,2014,0.00
unicef,United Nations Children's Fund,Public-private partnerships,2014,0.00
unicef,United Nations Children's Fund,Public sector,2014,0.00
unicef,United Nations Children's Fund,To be defined,2014,1329.75
unpbf,United Nations Peacebuilding Fund,Multilateral Institutions,2014,60420845.06
unpbf,United Nations Peacebuilding Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
unpbf,United Nations Peacebuilding Fund,Other,2014,3977316.19
unpbf,United Nations Peacebuilding Fund,Public-private partnerships,2014,0.00
unpbf,United Nations Peacebuilding Fund,Public sector,2014,0.00
unpbf,United Nations Peacebuilding Fund,To be defined,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Multilateral Institutions,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Non-governmental organisations (NGOs) and civil society,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Other,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Public-private partnerships,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Public sector,2014,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,To be defined,2014,673.69
unta,United Nations Transitional Authorities,Multilateral Institutions,2014,0.00
unta,United Nations Transitional Authorities,Non-governmental organisations (NGOs) and civil society,2014,0.00
unta,United Nations Transitional Authorities,Other,2014,0.00
unta,United Nations Transitional Authorities,Public-private partnerships,2014,0.00
unta,United Nations Transitional Authorities,Public sector,2014,0.00
unta,United Nations Transitional Authorities,To be defined,2014,0.00
wfp,World Food Programme,Multilateral Institutions,2014,0.00
wfp,World Food Programme,Non-governmental organisations (NGOs) and civil society,2014,0.00
wfp,World Food Programme,Other,2014,0.00
wfp,World Food Programme,Public-private partnerships,2014,0.00
wfp,World Food Programme,Public sector,2014,0.00
wfp,World Food Programme,To be defined,2014,305.90
who,World Health Organisation,Multilateral Institutions,2014,0.00
who,World Health Organisation,Non-governmental organisations (NGOs) and civil society,2014,0.00
who,World Health Organisation,Other,2014,0.00
who,World Health Organisation,Public-private partnerships,2014,0.00
who,World Health Organisation,Public sector,2014,0.00
who,World Health Organisation,To be defined,2014,466.92
