"id-to","entity-to-name","year","destination-institution-type","creditor-type","creditor-institution","financing-type","value"
"AF","Afghanistan",2008,"png","private","private","commercial-banking",0
"AF","Afghanistan",2008,"ppg","private","private","bonds",0
"AF","Afghanistan",2008,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2008,"ppg","private","private","other-private",0
"AF","Afghanistan",2009,"png","private","private","bonds",0
"AF","Afghanistan",2009,"png","private","private","commercial-banking",0
"AF","Afghanistan",2009,"ppg","private","private","bonds",0
"AF","Afghanistan",2009,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2009,"ppg","private","private","other-private",0
"AF","Afghanistan",2010,"png","private","private","bonds",0
"AF","Afghanistan",2010,"png","private","private","commercial-banking",0
"AF","Afghanistan",2010,"ppg","private","private","bonds",0
"AF","Afghanistan",2010,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2010,"ppg","private","private","other-private",0
"AF","Afghanistan",2011,"png","private","private","bonds",0
"AF","Afghanistan",2011,"png","private","private","commercial-banking",0
"AF","Afghanistan",2011,"ppg","private","private","bonds",0
"AF","Afghanistan",2011,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2011,"ppg","private","private","other-private",0
"AF","Afghanistan",2012,"png","private","private","bonds",0
"AF","Afghanistan",2012,"png","private","private","commercial-banking",0
"AF","Afghanistan",2012,"ppg","private","private","bonds",0
"AF","Afghanistan",2012,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2012,"ppg","private","private","other-private",0
"AF","Afghanistan",2013,"png","private","private","bonds",0
"AF","Afghanistan",2013,"png","private","private","commercial-banking",0
"AF","Afghanistan",2013,"ppg","private","private","bonds",0
"AF","Afghanistan",2013,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2013,"ppg","private","private","other-private",0
"AL","Albania",2000,"png","private","private","bonds",0
"AL","Albania",2000,"png","private","private","commercial-banking",0
"AL","Albania",2000,"ppg","private","private","bonds",0
"AL","Albania",2000,"ppg","private","private","commercial-banking",606405.7756
"AL","Albania",2000,"ppg","private","private","other-private",0
"AL","Albania",2001,"png","private","private","bonds",0
"AL","Albania",2001,"png","private","private","commercial-banking",0
"AL","Albania",2001,"ppg","private","private","bonds",0
"AL","Albania",2001,"ppg","private","private","commercial-banking",721795.9849
"AL","Albania",2001,"ppg","private","private","other-private",0
"AL","Albania",2002,"png","private","private","bonds",0
"AL","Albania",2002,"png","private","private","commercial-banking",5438788.109
"AL","Albania",2002,"ppg","private","private","bonds",0
"AL","Albania",2002,"ppg","private","private","commercial-banking",672287.4402
"AL","Albania",2002,"ppg","private","private","other-private",0
"AL","Albania",2003,"png","private","private","bonds",0
"AL","Albania",2003,"png","private","private","commercial-banking",0
"AL","Albania",2003,"ppg","private","private","bonds",0
"AL","Albania",2003,"ppg","private","private","commercial-banking",3411056.73
"AL","Albania",2003,"ppg","private","private","other-private",1818383.84
"AL","Albania",2004,"png","private","private","bonds",0
"AL","Albania",2004,"png","private","private","commercial-banking",34111692.23
"AL","Albania",2004,"ppg","private","private","bonds",0
"AL","Albania",2004,"ppg","private","private","commercial-banking",3217314.375
"AL","Albania",2004,"ppg","private","private","other-private",0
"AL","Albania",2005,"png","private","private","bonds",0
"AL","Albania",2005,"png","private","private","commercial-banking",408375772.5
"AL","Albania",2005,"ppg","private","private","bonds",0
"AL","Albania",2005,"ppg","private","private","commercial-banking",482266.2449
"AL","Albania",2005,"ppg","private","private","other-private",0
"AL","Albania",2006,"png","private","private","bonds",0
"AL","Albania",2006,"png","private","private","commercial-banking",13059460.43
"AL","Albania",2006,"ppg","private","private","bonds",0
"AL","Albania",2006,"ppg","private","private","commercial-banking",468191.3707
"AL","Albania",2006,"ppg","private","private","other-private",0
"AL","Albania",2007,"png","private","private","bonds",0
"AL","Albania",2007,"png","private","private","commercial-banking",119717750.2
"AL","Albania",2007,"ppg","private","private","bonds",0
"AL","Albania",2007,"ppg","private","private","commercial-banking",455002.7485
"AL","Albania",2007,"ppg","private","private","other-private",962032.8383
"AL","Albania",2008,"png","private","private","bonds",0
"AL","Albania",2008,"png","private","private","commercial-banking",184385140.9
"AL","Albania",2008,"ppg","private","private","bonds",70207206.51
"AL","Albania",2008,"ppg","private","private","commercial-banking",289141912.3
"AL","Albania",2008,"ppg","private","private","other-private",9211097.116
"AL","Albania",2009,"png","private","private","bonds",0
"AL","Albania",2009,"png","private","private","commercial-banking",154527127.9
"AL","Albania",2009,"ppg","private","private","bonds",0
"AL","Albania",2009,"ppg","private","private","commercial-banking",14551184.12
"AL","Albania",2009,"ppg","private","private","other-private",17400652.06
"AL","Albania",2010,"png","private","private","bonds",0
"AL","Albania",2010,"png","private","private","commercial-banking",187318926.3
"AL","Albania",2010,"ppg","private","private","bonds",394968299.9
"AL","Albania",2010,"ppg","private","private","commercial-banking",5498845.218
"AL","Albania",2010,"ppg","private","private","other-private",43151349.42
"AL","Albania",2011,"png","private","private","bonds",0
"AL","Albania",2011,"png","private","private","commercial-banking",318362960
"AL","Albania",2011,"ppg","private","private","bonds",95337749.55
"AL","Albania",2011,"ppg","private","private","commercial-banking",8807761.711
"AL","Albania",2011,"ppg","private","private","other-private",32529558.19
"AL","Albania",2012,"png","private","private","bonds",0
"AL","Albania",2012,"png","private","private","commercial-banking",201660000
"AL","Albania",2012,"ppg","private","private","bonds",0
"AL","Albania",2012,"ppg","private","private","commercial-banking",13723000
"AL","Albania",2012,"ppg","private","private","other-private",19873000
"AL","Albania",2013,"png","private","private","bonds",0
"AL","Albania",2013,"png","private","private","commercial-banking",363195946.2
"AL","Albania",2013,"ppg","private","private","bonds",0
"AL","Albania",2013,"ppg","private","private","commercial-banking",5225709.67
"AL","Albania",2013,"ppg","private","private","other-private",3876302.928
"DZ","Algeria",2000,"png","private","private","bonds",0
"DZ","Algeria",2000,"png","private","private","commercial-banking",0
"DZ","Algeria",2000,"ppg","private","private","bonds",0
"DZ","Algeria",2000,"ppg","private","private","commercial-banking",1190052.639
"DZ","Algeria",2000,"ppg","private","private","other-private",1026897891
"DZ","Algeria",2001,"png","private","private","bonds",0
"DZ","Algeria",2001,"png","private","private","commercial-banking",0
"DZ","Algeria",2001,"ppg","private","private","bonds",0
"DZ","Algeria",2001,"ppg","private","private","commercial-banking",2761931.971
"DZ","Algeria",2001,"ppg","private","private","other-private",1446876528
"DZ","Algeria",2002,"png","private","private","bonds",0
"DZ","Algeria",2002,"png","private","private","commercial-banking",197832975.1
"DZ","Algeria",2002,"ppg","private","private","bonds",0
"DZ","Algeria",2002,"ppg","private","private","commercial-banking",643709231.8
"DZ","Algeria",2002,"ppg","private","private","other-private",1271565417
"DZ","Algeria",2003,"png","private","private","bonds",0
"DZ","Algeria",2003,"png","private","private","commercial-banking",1038310407
"DZ","Algeria",2003,"ppg","private","private","bonds",0
"DZ","Algeria",2003,"ppg","private","private","commercial-banking",58519264.83
"DZ","Algeria",2003,"ppg","private","private","other-private",1606255466
"DZ","Algeria",2004,"png","private","private","bonds",0
"DZ","Algeria",2004,"png","private","private","commercial-banking",544170837.3
"DZ","Algeria",2004,"ppg","private","private","bonds",0
"DZ","Algeria",2004,"ppg","private","private","commercial-banking",20290066.68
"DZ","Algeria",2004,"ppg","private","private","other-private",1695434838
"DZ","Algeria",2005,"png","private","private","bonds",0
"DZ","Algeria",2005,"png","private","private","commercial-banking",774389975.4
"DZ","Algeria",2005,"ppg","private","private","bonds",0
"DZ","Algeria",2005,"ppg","private","private","commercial-banking",13558462.43
"DZ","Algeria",2005,"ppg","private","private","other-private",539964427.7
"DZ","Algeria",2006,"png","private","private","bonds",0
"DZ","Algeria",2006,"png","private","private","commercial-banking",677276791.1
"DZ","Algeria",2006,"ppg","private","private","bonds",0
"DZ","Algeria",2006,"ppg","private","private","commercial-banking",54958286.19
"DZ","Algeria",2006,"ppg","private","private","other-private",156917803.7
"DZ","Algeria",2007,"png","private","private","bonds",0
"DZ","Algeria",2007,"png","private","private","commercial-banking",408223811.1
"DZ","Algeria",2007,"ppg","private","private","bonds",0
"DZ","Algeria",2007,"ppg","private","private","commercial-banking",27521930.07
"DZ","Algeria",2007,"ppg","private","private","other-private",205736141.8
"DZ","Algeria",2008,"png","private","private","bonds",0
"DZ","Algeria",2008,"png","private","private","commercial-banking",442474319
"DZ","Algeria",2008,"ppg","private","private","bonds",0
"DZ","Algeria",2008,"ppg","private","private","commercial-banking",31353428.24
"DZ","Algeria",2008,"ppg","private","private","other-private",45971484.8
"DZ","Algeria",2009,"png","private","private","bonds",0
"DZ","Algeria",2009,"png","private","private","commercial-banking",170059994.5
"DZ","Algeria",2009,"ppg","private","private","bonds",0
"DZ","Algeria",2009,"ppg","private","private","commercial-banking",1646186.257
"DZ","Algeria",2009,"ppg","private","private","other-private",1249448.481
"DZ","Algeria",2010,"png","private","private","bonds",0
"DZ","Algeria",2010,"png","private","private","commercial-banking",2087248.489
"DZ","Algeria",2010,"ppg","private","private","bonds",0
"DZ","Algeria",2010,"ppg","private","private","commercial-banking",1388262.948
"DZ","Algeria",2010,"ppg","private","private","other-private",0
"DZ","Algeria",2011,"png","private","private","bonds",0
"DZ","Algeria",2011,"png","private","private","commercial-banking",242238.2705
"DZ","Algeria",2011,"ppg","private","private","bonds",0
"DZ","Algeria",2011,"ppg","private","private","commercial-banking",2159957.912
"DZ","Algeria",2011,"ppg","private","private","other-private",1573539.432
"DZ","Algeria",2012,"png","private","private","bonds",0
"DZ","Algeria",2012,"png","private","private","commercial-banking",230000
"DZ","Algeria",2012,"ppg","private","private","bonds",0
"DZ","Algeria",2012,"ppg","private","private","commercial-banking",0
"DZ","Algeria",2012,"ppg","private","private","other-private",0
"DZ","Algeria",2013,"png","private","private","bonds",0
"DZ","Algeria",2013,"png","private","private","commercial-banking",0
"DZ","Algeria",2013,"ppg","private","private","bonds",0
"DZ","Algeria",2013,"ppg","private","private","commercial-banking",0
"DZ","Algeria",2013,"ppg","private","private","other-private",0
"AO","Angola",2000,"png","private","private","bonds",0
"AO","Angola",2000,"png","private","private","commercial-banking",0
"AO","Angola",2000,"ppg","private","private","bonds",0
"AO","Angola",2000,"ppg","private","private","commercial-banking",4337878767
"AO","Angola",2000,"ppg","private","private","other-private",1146351.189
"AO","Angola",2001,"png","private","private","bonds",0
"AO","Angola",2001,"png","private","private","commercial-banking",0
"AO","Angola",2001,"ppg","private","private","bonds",0
"AO","Angola",2001,"ppg","private","private","commercial-banking",4734248650
"AO","Angola",2001,"ppg","private","private","other-private",7311563.447
"AO","Angola",2002,"png","private","private","bonds",0
"AO","Angola",2002,"png","private","private","commercial-banking",0
"AO","Angola",2002,"ppg","private","private","bonds",0
"AO","Angola",2002,"ppg","private","private","commercial-banking",4679466109
"AO","Angola",2002,"ppg","private","private","other-private",2502497.093
"AO","Angola",2003,"png","private","private","bonds",0
"AO","Angola",2003,"png","private","private","commercial-banking",0
"AO","Angola",2003,"ppg","private","private","bonds",0
"AO","Angola",2003,"ppg","private","private","commercial-banking",5871062928
"AO","Angola",2003,"ppg","private","private","other-private",9106198.615
"AO","Angola",2004,"png","private","private","bonds",0
"AO","Angola",2004,"png","private","private","commercial-banking",0
"AO","Angola",2004,"ppg","private","private","bonds",0
"AO","Angola",2004,"ppg","private","private","commercial-banking",5292160245
"AO","Angola",2004,"ppg","private","private","other-private",193790004.8
"AO","Angola",2005,"png","private","private","bonds",0
"AO","Angola",2005,"png","private","private","commercial-banking",0
"AO","Angola",2005,"ppg","private","private","bonds",0
"AO","Angola",2005,"ppg","private","private","commercial-banking",6780617514
"AO","Angola",2005,"ppg","private","private","other-private",249996314
"AO","Angola",2006,"png","private","private","bonds",0
"AO","Angola",2006,"png","private","private","commercial-banking",0
"AO","Angola",2006,"ppg","private","private","bonds",0
"AO","Angola",2006,"ppg","private","private","commercial-banking",979540649.2
"AO","Angola",2006,"ppg","private","private","other-private",245238560.3
"AO","Angola",2007,"png","private","private","bonds",0
"AO","Angola",2007,"png","private","private","commercial-banking",0
"AO","Angola",2007,"ppg","private","private","bonds",0
"AO","Angola",2007,"ppg","private","private","commercial-banking",6608020138
"AO","Angola",2007,"ppg","private","private","other-private",193709191.9
"AO","Angola",2008,"png","private","private","bonds",0
"AO","Angola",2008,"png","private","private","commercial-banking",0
"AO","Angola",2008,"ppg","private","private","bonds",0
"AO","Angola",2008,"ppg","private","private","commercial-banking",3878533077
"AO","Angola",2008,"ppg","private","private","other-private",290247804.3
"AO","Angola",2009,"png","private","private","bonds",0
"AO","Angola",2009,"png","private","private","commercial-banking",0
"AO","Angola",2009,"ppg","private","private","bonds",0
"AO","Angola",2009,"ppg","private","private","commercial-banking",3098776832
"AO","Angola",2009,"ppg","private","private","other-private",189156875.4
"AO","Angola",2010,"png","private","private","bonds",0
"AO","Angola",2010,"png","private","private","commercial-banking",0
"AO","Angola",2010,"ppg","private","private","bonds",0
"AO","Angola",2010,"ppg","private","private","commercial-banking",30208456.59
"AO","Angola",2010,"ppg","private","private","other-private",344239204.4
"AO","Angola",2011,"png","private","private","bonds",0
"AO","Angola",2011,"png","private","private","commercial-banking",0
"AO","Angola",2011,"ppg","private","private","bonds",10535134.27
"AO","Angola",2011,"ppg","private","private","commercial-banking",2410069992
"AO","Angola",2011,"ppg","private","private","other-private",150432235.8
"AO","Angola",2012,"png","private","private","bonds",0
"AO","Angola",2012,"png","private","private","commercial-banking",0
"AO","Angola",2012,"ppg","private","private","bonds",5.1e+07
"AO","Angola",2012,"ppg","private","private","commercial-banking",1905258000
"AO","Angola",2012,"ppg","private","private","other-private",1155654000
"AO","Angola",2013,"png","private","private","bonds",0
"AO","Angola",2013,"png","private","private","commercial-banking",0
"AO","Angola",2013,"ppg","private","private","bonds",0
"AO","Angola",2013,"ppg","private","private","commercial-banking",3958917278
"AO","Angola",2013,"ppg","private","private","other-private",220607137.8
"AG","Antigua & Barbuda",2000,"png","private","private","bonds",
"AG","Antigua & Barbuda",2000,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2000,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2000,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2000,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2001,"png","private","private","bonds",
"AG","Antigua & Barbuda",2001,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2001,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2001,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2001,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2002,"png","private","private","bonds",
"AG","Antigua & Barbuda",2002,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2002,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2002,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2002,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2003,"png","private","private","bonds",
"AG","Antigua & Barbuda",2003,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2003,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2003,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2003,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2004,"png","private","private","bonds",
"AG","Antigua & Barbuda",2004,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2004,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2004,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2004,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2005,"png","private","private","bonds",
"AG","Antigua & Barbuda",2005,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2005,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2005,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2005,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2006,"png","private","private","bonds",
"AG","Antigua & Barbuda",2006,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2006,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2006,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2006,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2007,"png","private","private","bonds",
"AG","Antigua & Barbuda",2007,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2007,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2007,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2007,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2008,"png","private","private","bonds",
"AG","Antigua & Barbuda",2008,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2008,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2008,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2008,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2009,"png","private","private","bonds",
"AG","Antigua & Barbuda",2009,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2009,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2009,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2009,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2010,"png","private","private","bonds",
"AG","Antigua & Barbuda",2010,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2010,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2010,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2010,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2011,"png","private","private","bonds",
"AG","Antigua & Barbuda",2011,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2011,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2011,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2011,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2012,"png","private","private","bonds",
"AG","Antigua & Barbuda",2012,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2012,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2012,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2012,"ppg","private","private","other-private",
"AG","Antigua & Barbuda",2013,"png","private","private","bonds",
"AG","Antigua & Barbuda",2013,"png","private","private","commercial-banking",
"AG","Antigua & Barbuda",2013,"ppg","private","private","bonds",
"AG","Antigua & Barbuda",2013,"ppg","private","private","commercial-banking",
"AG","Antigua & Barbuda",2013,"ppg","private","private","other-private",
"AR","Argentina",2000,"png","private","private","bonds",1776786801
"AR","Argentina",2000,"png","private","private","commercial-banking",3880799968
"AR","Argentina",2000,"ppg","private","private","bonds",15574160206
"AR","Argentina",2000,"ppg","private","private","commercial-banking",2590112.382
"AR","Argentina",2000,"ppg","private","private","other-private",0
"AR","Argentina",2001,"png","private","private","bonds",215545461.6
"AR","Argentina",2001,"png","private","private","commercial-banking",74545692.15
"AR","Argentina",2001,"ppg","private","private","bonds",94414.93178
"AR","Argentina",2001,"ppg","private","private","commercial-banking",163312.3144
"AR","Argentina",2001,"ppg","private","private","other-private",0
"AR","Argentina",2002,"png","private","private","bonds",0
"AR","Argentina",2002,"png","private","private","commercial-banking",0
"AR","Argentina",2002,"ppg","private","private","bonds",0
"AR","Argentina",2002,"ppg","private","private","commercial-banking",5113977.564
"AR","Argentina",2002,"ppg","private","private","other-private",0
"AR","Argentina",2003,"png","private","private","bonds",0
"AR","Argentina",2003,"png","private","private","commercial-banking",2455396587
"AR","Argentina",2003,"ppg","private","private","bonds",318595543.5
"AR","Argentina",2003,"ppg","private","private","commercial-banking",556382.4181
"AR","Argentina",2003,"ppg","private","private","other-private",0
"AR","Argentina",2004,"png","private","private","bonds",2142564733
"AR","Argentina",2004,"png","private","private","commercial-banking",1816372849
"AR","Argentina",2004,"ppg","private","private","bonds",5915787752
"AR","Argentina",2004,"ppg","private","private","commercial-banking",382394.2841
"AR","Argentina",2004,"ppg","private","private","other-private",0
"AR","Argentina",2005,"png","private","private","bonds",1179573840
"AR","Argentina",2005,"png","private","private","commercial-banking",2112614562
"AR","Argentina",2005,"ppg","private","private","bonds",4864278543
"AR","Argentina",2005,"ppg","private","private","commercial-banking",120141.78
"AR","Argentina",2005,"ppg","private","private","other-private",0
"AR","Argentina",2006,"png","private","private","bonds",5854717073
"AR","Argentina",2006,"png","private","private","commercial-banking",4045527606
"AR","Argentina",2006,"ppg","private","private","bonds",4534256458
"AR","Argentina",2006,"ppg","private","private","commercial-banking",20220.05551
"AR","Argentina",2006,"ppg","private","private","other-private",0
"AR","Argentina",2007,"png","private","private","bonds",4023855130
"AR","Argentina",2007,"png","private","private","commercial-banking",2154208552
"AR","Argentina",2007,"ppg","private","private","bonds",6727162465
"AR","Argentina",2007,"ppg","private","private","commercial-banking",21542.08552
"AR","Argentina",2007,"ppg","private","private","other-private",0
"AR","Argentina",2008,"png","private","private","bonds",0
"AR","Argentina",2008,"png","private","private","commercial-banking",4593977941
"AR","Argentina",2008,"ppg","private","private","bonds",3112160396
"AR","Argentina",2008,"ppg","private","private","commercial-banking",9218.684832
"AR","Argentina",2008,"ppg","private","private","other-private",0
"AR","Argentina",2009,"png","private","private","bonds",781859247.1
"AR","Argentina",2009,"png","private","private","commercial-banking",5704592339
"AR","Argentina",2009,"ppg","private","private","bonds",169595508.6
"AR","Argentina",2009,"ppg","private","private","commercial-banking",9863.740407
"AR","Argentina",2009,"ppg","private","private","other-private",0
"AR","Argentina",2010,"png","private","private","bonds",3040301880
"AR","Argentina",2010,"png","private","private","commercial-banking",3379574567
"AR","Argentina",2010,"ppg","private","private","bonds",134225148.7
"AR","Argentina",2010,"ppg","private","private","commercial-banking",38053598.49
"AR","Argentina",2010,"ppg","private","private","other-private",32470214.48
"AR","Argentina",2011,"png","private","private","bonds",1773795365
"AR","Argentina",2011,"png","private","private","commercial-banking",9194105529
"AR","Argentina",2011,"ppg","private","private","bonds",0
"AR","Argentina",2011,"ppg","private","private","commercial-banking",16490429.11
"AR","Argentina",2011,"ppg","private","private","other-private",14813572.96
"AR","Argentina",2012,"png","private","private","bonds",210548000
"AR","Argentina",2012,"png","private","private","commercial-banking",5079088000
"AR","Argentina",2012,"ppg","private","private","bonds",30000
"AR","Argentina",2012,"ppg","private","private","commercial-banking",35875000
"AR","Argentina",2012,"ppg","private","private","other-private",0
"AR","Argentina",2013,"png","private","private","bonds",381431752.2
"AR","Argentina",2013,"png","private","private","commercial-banking",6713758271
"AR","Argentina",2013,"ppg","private","private","bonds",217151639.4
"AR","Argentina",2013,"ppg","private","private","commercial-banking",11523307.52
"AR","Argentina",2013,"ppg","private","private","other-private",0
"AM","Armenia",2000,"png","private","private","bonds",0
"AM","Armenia",2000,"png","private","private","commercial-banking",0
"AM","Armenia",2000,"ppg","private","private","bonds",0
"AM","Armenia",2000,"ppg","private","private","commercial-banking",0
"AM","Armenia",2000,"ppg","private","private","other-private",1199470.038
"AM","Armenia",2001,"png","private","private","bonds",0
"AM","Armenia",2001,"png","private","private","commercial-banking",0
"AM","Armenia",2001,"ppg","private","private","bonds",0
"AM","Armenia",2001,"ppg","private","private","commercial-banking",0
"AM","Armenia",2001,"ppg","private","private","other-private",208062.8822
"AM","Armenia",2002,"png","private","private","bonds",0
"AM","Armenia",2002,"png","private","private","commercial-banking",2086310.953
"AM","Armenia",2002,"ppg","private","private","bonds",0
"AM","Armenia",2002,"ppg","private","private","commercial-banking",0
"AM","Armenia",2002,"ppg","private","private","other-private",3654270.421
"AM","Armenia",2003,"png","private","private","bonds",0
"AM","Armenia",2003,"png","private","private","commercial-banking",32745070.22
"AM","Armenia",2003,"ppg","private","private","bonds",0
"AM","Armenia",2003,"ppg","private","private","commercial-banking",0
"AM","Armenia",2003,"ppg","private","private","other-private",0
"AM","Armenia",2004,"png","private","private","bonds",0
"AM","Armenia",2004,"png","private","private","commercial-banking",79365901.19
"AM","Armenia",2004,"ppg","private","private","bonds",0
"AM","Armenia",2004,"ppg","private","private","commercial-banking",0
"AM","Armenia",2004,"ppg","private","private","other-private",0
"AM","Armenia",2005,"png","private","private","bonds",0
"AM","Armenia",2005,"png","private","private","commercial-banking",175983494.4
"AM","Armenia",2005,"ppg","private","private","bonds",0
"AM","Armenia",2005,"ppg","private","private","commercial-banking",0
"AM","Armenia",2005,"ppg","private","private","other-private",0
"AM","Armenia",2006,"png","private","private","bonds",0
"AM","Armenia",2006,"png","private","private","commercial-banking",107302571.4
"AM","Armenia",2006,"ppg","private","private","bonds",0
"AM","Armenia",2006,"ppg","private","private","commercial-banking",0
"AM","Armenia",2006,"ppg","private","private","other-private",0
"AM","Armenia",2007,"png","private","private","bonds",0
"AM","Armenia",2007,"png","private","private","commercial-banking",559147063.8
"AM","Armenia",2007,"ppg","private","private","bonds",0
"AM","Armenia",2007,"ppg","private","private","commercial-banking",0
"AM","Armenia",2007,"ppg","private","private","other-private",0
"AM","Armenia",2008,"png","private","private","bonds",0
"AM","Armenia",2008,"png","private","private","commercial-banking",530901974.9
"AM","Armenia",2008,"ppg","private","private","bonds",0
"AM","Armenia",2008,"ppg","private","private","commercial-banking",0
"AM","Armenia",2008,"ppg","private","private","other-private",0
"AM","Armenia",2009,"png","private","private","bonds",0
"AM","Armenia",2009,"png","private","private","commercial-banking",307658285.1
"AM","Armenia",2009,"ppg","private","private","bonds",0
"AM","Armenia",2009,"ppg","private","private","commercial-banking",0
"AM","Armenia",2009,"ppg","private","private","other-private",0
"AM","Armenia",2010,"png","private","private","bonds",0
