"id","entity-name","year","dfis-in","fdi-in","fdi-in-profits-out","fdi-out","illicit-financing-out","long-debt-capital-payments-out","long-debt-disbursement-in","long-debt-net-official-in","long-debt-interest-payments-out","net-portfolio-equity-in","oda-capital-payments-out","oda-in","oda-interest-payments-out","oofs-capital-payments-out","oofs-in","oofs-interest-payments-out","pda-in","remittances-in","remittances-out","short-debt-interest-out","short-debt-net-flow-in","ssc-in","trade-mispricing-out","ssc-out"
"DZ","Algeria",2004,,1685265921,0,483415281.2,,8134709971,2259895742,1410253987,1882214894,0,91050000,467230000,51060000,2165940000,244960000,430100000,,6612250328,,18944154.18,535902602.5,,1435091822,
"DZ","Algeria",2005,,1915651466,9176723397,9142927625,316467245.9,7315489992,1327912866,359119639.4,1462412450,0,91540000,496170000,3760000,2185790000,382990000,301090000,,4316603720,45172567.32,24342892.91,140145982,,0,
"DZ","Algeria",2006,,2831775428,9443752022,9494758784,2943390225,18863821578,889152881,170170039.2,900470603.1,0,269350000,537900000,22590000,5030790000,60900000,165470000,,2751974811,52506961.2,22417743.29,36591066.52,,445901231,
"DZ","Algeria",2007,,2343444815,7452259433,7655288962,1748785354,1503055569,641481883,86952261.27,267610898.5,0,99150000,497800000,29770000,249210000,91090000,34130000,,3071093015,65700534.14,29100497.55,276093201.1,,0,
"DZ","Algeria",2008,,2859407452,6683396425,7028750184,3670130586,1129906146,519799232.1,92668395.49,172208265.6,0,115940000,419870000,20160000,319160000,9970000,28230000,,2607186363,29095478.6,32889201.64,591727948.3,,0,
"DZ","Algeria",2009,,3783335512,8115035856,8411211626,2936061949,1231915826,172955629.3,46258723.45,167277398.2,0,80980000,390150000,18740000,210610000,-350000,14130000,,2783547712,62957884.86,24236310.13,255580936.9,,1432932145,
"DZ","Algeria",2010,,2792301612,5894671909,6161888256,1706252499,665002142,3475511.437,18264057.26,113209774.5,0,89090000,288990000,19730000,100200000,658850000,7800000,,2616582406,33943727.72,21459917.64,340915391.6,,0,
"DZ","Algeria",2011,,2605070734,6372313513,6911293665,188401085.1,531575291.3,3975735.615,11073132.14,79569343.83,0,107630000,287540000,40580000,186610000,1400000,10400000,,2046146421,31189797.21,21266385.38,-631674754.2,,0,
"DZ","Algeria",2012,,1.5e+09,7452942944,7.41e+09,2619872496,741696000,230000,23270000,103139000,0,108290000,252750000,36740000,42270000,760000,6900000,,1942212000,41298352.72,19431000,63374000,,0,
"DZ","Algeria",2013,,1708595242,0,-270788601.3,,350383000,0,0,30300000,0,114560000,316060000,24610000,50060000,90000,15410000,,1953451982,,20133334.59,124279843.1,,,
"AO","Angola",2000,,3772229591,3987026608,3987026608,,6566975072,4339025118,64177702.94,641322689.4,0,12940000,502230000,6080000,71850000,5950000,41570000,,0,1143903922,110298352.5,-1064271808,,,
"AO","Angola",2001,,9713292066,4197335420,4197335420,,9430970246,4741560213,38081792.65,565833143.5,0,9860000,482620000,3990000,23090000,6940000,3790000,,0,978934590.7,101031935.2,-17242180.21,,,
"AO","Angola",2002,,6803780959,4477138812,4360355615,274959386.3,5225981478,4681968606,51375361.31,569596931.5,0,10540000,637970000,5970000,25390000,79400000,8180000,,0,907409515.1,75248816.25,-805365709,,,
"AO","Angola",2003,,12020525155,4334978515,4334977706,2818936239,4513893454,5880169126,505860180.7,547103692.3,0,11090000,661260000,4140000,13760000,3e+05,5130000,,0,788589837.5,22165146.2,-215994464.2,,0,
"AO","Angola",2004,,3895609969,5255153926,5254252939,0,4572104971,5485950250,1467479611,445810455.1,0,14380000,1364680000,6240000,863670000,290000,4450000,,0,798308271.4,22838237.42,910842645.5,,0,
"AO","Angola",2005,,-2732158220,7136773321,7136349671,1203165959,4794283018,7030613828,623418705.2,537763360.3,0,11880000,503150000,5130000,9140000,110000,4e+06,,0,450320706.1,118450540.7,2547053184,,0,
"AO","Angola",2006,,-64466052.62,9022397826,8696630524,0,5994469045,1224779209,826114229.6,1401635416,0,266480000,461750000,53720000,15500000,0,8220000,,0,705371799.8,142627898.8,396402186.5,,0,
"AO","Angola",2007,,-1294121152,10528910144,9208070722,2377195526,5471705059,6801729330,1347467777,838118361.5,0,133640000,402090000,34250000,15150000,10000,7050000,,0,873047209.5,171427147,304092621.1,,0,
"AO","Angola",2008,,1987915677,15610623117,12568143223,1463340129,1336954454,4168780882,1147450120,524761901.8,0,31080000,400300000,72390000,33600000,157450000,8990000,,88634229.39,792638735.1,64606091.21,165696095.6,,0,
"AO","Angola",2009,,2981774802,8288417038,8279286165,0,4231884429,3287933707,1432087446,530300119.7,0,59370000,311890000,13260000,14330000,0,810000,,174926.2726,968049362.7,40811862.61,252742691.4,,0,
"AO","Angola",2010,,-4130367703,9631868870,7916311405,0,2698894973,374447661,4560131046,225667850.9,0,57320000,306820000,14760000,15260000,71510000,1050000,,18794477.93,914404958.7,38967850.41,-434980437.3,,2168952560,
"AO","Angola",2011,,-3185583314,9523685890,11728312808,18404615.57,2823631360,2571037362,2406482878,161917262.1,0,54880000,246550000,13540000,2030000,3.4e+07,660000,,211296.289,594457110.7,34115169.83,-250637765.7,,0,
"AO","Angola",2012,,-6897954559,9722100376,12462855077,326436522,3554361000,3111912000,923135000,639657000,0,50790000,293130000,7490000,4270000,98330000,1920000,,45000.00179,523198954.7,34338000,2.4e+08,,0,
"AO","Angola",2013,,-4185092240,9113489744,11151688062,,2802083000,4179524416,3397817121,458570000,0,56080000,342290000,15390000,4770000,59330000,13300000,,46779.3341,654678666.6,0,430736.162,,,
"AI","Anguilla",2000,,,,,,,,,,,7e+05,5560000,290000,170000,6460000,230000,,,,,,,,
"AI","Anguilla",2001,,,,,,,,,,,790000,5930000,310000,210000,1670000,820000,,,,,,,,
"AI","Anguilla",2002,,,,,,,,,,,2190000,2910000,960000,990000,7850000,930000,,,,,,,,
"AI","Anguilla",2003,,,,,,,,,,,590000,5600000,230000,670000,1060000,560000,,,,,,,,
"AI","Anguilla",2004,,,,,,,,,,,460000,3460000,260000,780000,950000,520000,,,,,,,,
"AI","Anguilla",2005,,,,,,,,,,,390000,5090000,250000,390000,0,250000,,,,,,,,
"AI","Anguilla",2006,,,,,,,,,,,450000,5340000,230000,8e+05,7040000,730000,,,,,,,,
"AI","Anguilla",2007,,,,,,,,,,,450000,6310000,2e+05,830000,2e+06,880000,,,,,,,,
"AI","Anguilla",2008,,,,,,,,,,,4e+05,3500000,180000,1300000,1050000,830000,,,,,,,,
"AI","Anguilla",2009,,,,,,,,,,,360000,2070000,160000,1300000,290000,770000,,,,,,,,
"AI","Anguilla",2010,,,,,,,,,,,390000,8620000,0,2360000,57250000,860000,,,,,,,,
"AI","Anguilla",2011,,,,,,,,,,,510000,810000,140000,1180000,0,2640000,,,,,,,,
"AI","Anguilla",2012,,,,,,,,,,,380000,5420000,130000,1530000,710000,2420000,,,,,,,,
"AI","Anguilla",2013,,,,,,,,,,,270000,7650000,120000,1570000,1e+05,2440000,,,,,,,,
"AG","Antigua & Barbuda",2000,,87891787.36,,30974125.08,,,0,0,,0,1480000,15890000,8e+05,0,140000,110000,,43972691.31,2056923.177,,,,,
"AG","Antigua & Barbuda",2001,,143018570.2,,17169595.07,,,0,0,,0,1230000,13810000,410000,5770000,2920000,1900000,,56765438.86,1999789.542,,,,,
"AG","Antigua & Barbuda",2002,,100707055.2,,17497615.24,50866462.52,,0,0,,0,3160000,22190000,570000,4870000,1780000,410000,,37802018.71,1783169.658,,,,,
"AG","Antigua & Barbuda",2003,,229049247.8,,16724392.66,6380321.404,,0,0,,0,1040000,9120000,360000,660000,3790000,910000,,40916948.99,1901224.514,,,,,
"AG","Antigua & Barbuda",2004,,117408954.6,,18334199.48,23713580.57,,0,0,,0,2270000,4250000,470000,1640000,4830000,970000,,37684779.04,1931450.543,,,,,
"AG","Antigua & Barbuda",2005,,282750778.8,,19699472.67,13174061.7,,0,0,,0,1100000,11080000,470000,1030000,190000,390000,,27449419.3,1988260.295,,,,,
"AG","Antigua & Barbuda",2006,,425556729.3,,2617449.153,12601462.19,,0,0,,0,880000,5030000,390000,1900000,3e+05,760000,,25178477.81,2165443.901,,,,,
"AG","Antigua & Barbuda",2007,,378383471.6,,2553327.854,8565179.737,,0,0,,0,980000,8950000,430000,9820000,10190000,1080000,,21358833.13,2368186.13,,,,,
"AG","Antigua & Barbuda",2008,,173639702.7,,2185125.062,0,,0,0,,0,1030000,9790000,3e+05,3520000,5380000,640000,,18938946.72,2556588.752,,,,,
"AG","Antigua & Barbuda",2009,,91191058.75,,4301742.948,4865095.835,,0,0,,0,790000,7060000,510000,2330000,12640000,1750000,,20750803.27,2286649.97,,,,,
"AG","Antigua & Barbuda",2010,,105978910.1,,4875440.245,0,,0,0,,0,720000,20210000,60000,12850000,11900000,1860000,,19363699,2161548.826,,,,,
"AG","Antigua & Barbuda",2011,,70475708.65,,3232148.494,17325631.59,,0,0,,0,1260000,16220000,290000,2600000,35950000,1900000,,18597694.44,2112555.68,,,,,
"AG","Antigua & Barbuda",2012,,133805401.1,,4438262.222,0,,0,0,,0,860000,3220000,290000,21970000,4180000,2300000,,20556413.65,2157660.741,,,,,
"AG","Antigua & Barbuda",2013,,143799955.2,,4201066.803,,,0,0,,0,1050000,2660000,480000,3400000,15860000,1560000,,21608197.42,2310325.432,,,,,
"AR","Argentina",2000,,13150392287,3895325855,5032637890,,11517570862,21234337087,0,9693400459,-4073475657,138800000,203630000,17350000,2314230000,3300170000,2312720000,,,338532232.4,1706562917,-1084110562,,,
"AR","Argentina",2001,,2763725149,1782241825,1987500764,,11638754179,290348881,7909631.941,3619139527,39714179.22,122590000,363160000,36430000,2609590000,4870990000,2255820000,,,326497041.1,1031871114,-8281861309,,,
"AR","Argentina",2002,,6746141754,2679987948,711205141.7,5933179224,6051985415,5113977.564,3858255312,3030872100,-363786200.2,57080000,180750000,8490000,4095030000,1400410000,1652930000,,,375307561.5,471347818.6,-25446998494,,1828208294,
"AR","Argentina",2003,,4315256703,4247679368,6268890239,3729344662,13261129381,2774548513,5811193703,2608676429,170702305.3,47030000,189040000,9820000,7319970000,6267480000,1355700000,,,470286810.1,610631492.1,1489522161,,0,
"AR","Argentina",2004,,9857896945,8872168781,10487752064,0,9292295410,9875107729,1192074675,2975551308,-205895422.3,35670000,145350000,6940000,2122490000,1832920000,879340000,,,561450407.6,481749422.6,-647407341.5,,1798848351,
"AR","Argentina",2005,,11501419815,11919003862,14782877186,0,5882821581,8156587086,714805913,3673136208,-105069447.6,19650000,133190000,6190000,2215910000,1567840000,974460000,,,685922187.7,586930065.2,29170009863,,619140682.4,
"AR","Argentina",2006,,11196547961,14380402378,19311509212,0,7954677273,14434521356,1375687374,4745090781,1428890663,30280000,161640000,5920000,3130860000,2017710000,1043010000,,,718964513.7,1479067315,-9879267406,,0,
"AR","Argentina",2007,,11620443173,13074196880,15774556471,0,7276189905,12905247689,1969209024,4131057595,3204277510,6.4e+07,173640000,6440000,3139480000,2326590000,981560000,,,830339686.3,783966206.8,-15467681359,,1089442883,
"AR","Argentina",2008,,14942801521,12140792821,14277890754,0,5579090037,7706147556,1301156390,3534429851,-815269757.6,39610000,165850000,4100000,2418350000,1994950000,765720000,,,968177010,290105830.8,196706314.3,,5043510849,
"AR","Argentina",2009,,6604035468,13743284912,14913036415,0,14405253150,6656056958,2337524279,4307319786,-348383800.6,38270000,164020000,4420000,2035160000,3396630000,646250000,,,1260970815,145500477.8,-1160153755,,0,
"AR","Argentina",2010,,16918427797,14875705222,16315980450,908082626.1,12462372229,6624625410,1200777051,4107362358,-309774062.3,35900000,159570000,9070000,1927980000,2511260000,618570000,,,1552471398,127869931,-749365344.9,,0,
"AR","Argentina",2011,,14403671580,14526051541,16525380027,5635009373,12552799622,10999204896,1328904257,3547628561,-233832706.2,35200000,118530000,12200000,1700090000,2184910000,539010000,,,1539644620,174602500,2382073144,,0,
"AR","Argentina",2012,,1.21e+10,10235854136,11287703714,2765080142,9658204000,5325541000,254112000,3204912000,876218246.4,17690000,196610000,9540000,1846290000,1874660000,513580000,,,979930772.3,104973000,-3.03e+09,,189714175.6,
"AR","Argentina",2013,,9059004208,8821172906,10043071184,,10740300001,7323864970,643615776,2555733000,460680435.5,53380000,82870000,12550000,1797520000,2372110000,566360000,,,861291437.4,218682885.3,-3971092596,,,
"AM","Armenia",2000,,221580822.3,46830372.75,46830372.75,,32512674.01,1199470.038,36784698.83,19987856.98,850687.97,0,308210000,6470000,11450000,37950000,7040000,,235197545.2,9995583.647,5176527.705,-23226374.31,,,
"AM","Armenia",2001,,146838802.9,7513381.856,7513381.856,,50495562.82,208062.8822,36453233.47,34726986.71,1024126.264,3400000,318850000,7320000,15960000,12680000,9910000,,275194546,43159387.36,3107936.163,-4094915.891,,,
"AM","Armenia",2002,,238152020.2,28024898.82,28028193.46,9434253.826,70748638.9,5740581.374,15268012.78,51716137.5,-881842.7738,17320000,445810000,7900000,12890000,13740000,6580000,,352455359.3,51735779.78,8261171.565,394748177.2,,174919840.8,
"AM","Armenia",2003,,255093841,72271713.01,73017659.08,3243099.69,127941362.1,32745070.22,30668696.69,37415991.39,103820.768,24100000,353400000,8700000,13320000,5920000,5270000,,368611242.1,55880490.16,18091795.77,381753488.7,,447139927.1,
"AM","Armenia",2004,,444874962.9,263772365.6,263050840.9,9947465.314,146483230.6,79365901.19,21506499.56,70769381.42,2475116.263,34820000,338180000,10070000,24760000,19760000,3990000,,812000498.6,248244802.3,21961422.94,10791854.03,,384121056.6,
"AM","Armenia",2005,,437969205.2,254441973.7,261782870.1,0,103647359.1,175983494.4,5292907.204,34816319.02,195181.0883,43980000,241980000,10280000,35070000,22570000,4530000,,840883911.4,310953744.8,15732295.46,-168035898.7,,527307113.3,
"AM","Armenia",2006,,607820330.1,317249865.6,345829871.1,44191424.27,63266248.6,107302571.4,1650725.237,76212664.01,-608765.8922,45590000,291220000,10360000,18090000,36860000,6080000,,1082153604,237196442.3,13799095.36,11729231.05,,481563043.3,
"AM","Armenia",2007,,686161214.4,334345663.4,348514530.1,0,60035785.83,559147063.8,0,93207701.08,1414166.745,35120000,432360000,10300000,27150000,86220000,9140000,,1205433763,245446662.4,15730577.32,156319980.8,,826596433.6,
"AM","Armenia",2008,,818809846.4,234222320.2,250436546.9,0,219228802.7,530901974.9,0,60287292.2,2497670.626,41600000,360570000,11420000,27410000,75770000,11110000,,1442915269,193999569.8,13100203.8,-5407919.483,,975110310,
"AM","Armenia",2009,,763428587.8,354014621.2,404638399,7670060.522,300832191.4,307658285.1,491313573.8,79287385.27,983968.8052,45860000,597370000,13080000,35370000,151080000,13980000,,1102853515,181299060.7,17459503.97,68726974.78,,835598327.7,
"AM","Armenia",2010,,507465566.5,347235102.9,354851807,95064842.41,820992489.3,1472608818,0,57559712.15,7105804.289,46060000,402190000,14590000,63270000,250630000,17050000,,1154757431,218039234.5,19836053.72,95045801.59,,1001367216,
"AM","Armenia",2011,,472186635.3,346965305.4,418345786,0,673334417.3,1166858426,0,115445502.2,2413207.563,47990000,437430000,16280000,90880000,205230000,26360000,,1987364520,275304131.7,26563784.05,227818696.9,,1069257565,
"AM","Armenia",2012,,488776717.4,334890199.7,350692958.7,0,842320000,1339903000,0,124272000,2295373.44,52070000,324830000,17330000,84490000,229550000,12790000,,2122901855,314788691.7,26943000,-61881000,,1229836311,
"AM","Armenia",2013,,378393279.7,331303733,348131225,,1126807000,2520119854,1286982.235,81630000,-1870881.715,53160000,339010000,18760000,113120000,231470000,14720000,,2331420294,362530805.6,39239188.68,349552584.9,,,
"AZ","Azerbaijan",2000,,437142986.6,1067348207,1069905189,,72483710.48,217050761.9,499261086.7,124841281.2,0,0,201260000,3380000,53340000,137540000,41380000,,97438141.95,339681599.4,17495139.92,427991682.6,,,
"AZ","Azerbaijan",2001,,749403355.7,1089134421,1089134421,,158519107.2,25409111.17,133533773.9,71301009.75,0,1410000,3.35e+08,4330000,94760000,81110000,43200000,,179600520.1,469413478,17137916.13,-176507302.2,,,
"AZ","Azerbaijan",2002,,4564442332,1168000158,2235368465,,257750495.9,5985659.488,322541666.5,42276588.4,0,5080000,507230000,5530000,127350000,162600000,24920000,,293471131,769278530.9,12145053.89,-67133793.17,,,
"AZ","Azerbaijan",2003,,10189600700,1309954594,4204765870,,326396019.2,165964866.2,260605142.7,48754990.5,0,23560000,418790000,7640000,125640000,1553730000,15630000,,228133023.9,525094783.8,8846496.559,63960294.19,,,
"AZ","Azerbaijan",2004,,10187092750,1664952703,5116377884,,397147940.3,669433021.9,103502323.5,52850503.12,0,33740000,252480000,9900000,201130000,584780000,10370000,,271652884.6,575073288.5,10355822.47,100263841.4,,,
"AZ","Azerbaijan",2005,,3987308041,3754115364,6651625982,,319220570.2,854511310.5,58834357.42,57239583.26,0,37480000,296200000,9870000,206160000,351150000,19450000,,729123447.3,568211333.3,15380349.13,113928512,,,
"AZ","Azerbaijan",2006,,-1174329072,5277284855,6695947007,,323839613.5,406213674.6,374404979.9,74105285.14,1508166.826,37200000,277060000,10060000,243940000,64380000,20080000,,898507760.2,551683403,29163924.63,671636959.7,,,
"AZ","Azerbaijan",2007,,-7585249600,7978785296,8434870135,,80927346.29,410155303.7,43027811.12,122560222,3202528.901,40850000,284280000,10220000,763880000,276370000,17400000,,1296266047,646152134.2,28910610.03,835372875.5,,,
"AZ","Azerbaijan",2008,,17791566.38,6820362245,7521923230,,187091768.3,578065543.2,58470324.24,111375963.1,0,41250000,275050000,10770000,811380000,347580000,31050000,,1446994964,716391499.3,41330983.01,159101303.3,,,
"AZ","Azerbaijan",2009,,684038566.5,5294919969,5766199208,,333341349.2,634039098.4,102048447.2,97200954.62,0,50640000,288030000,11700000,253690000,428650000,34680000,,1222757664,922208075.8,26901667.8,-518840589.8,,,
"AZ","Azerbaijan",2010,,714827191,4843851879,5138416548,,381297457.5,2659270151,284116451.9,102031106.7,794816.7345,58270000,220480000,12360000,173530000,460630000,29940000,,1421092844,1210748395,24954198.24,86337920.05,,,
"AZ","Azerbaijan",2011,,1519841846,5693821372,6246774071,,886564727.2,1289118442,236131281.2,983591845.5,62246.08241,62170000,343610000,13570000,190220000,671770000,37590000,,1781390912,1327532574,19311847.07,13486651.19,,,
"AZ","Azerbaijan",2012,,2004600000,4906186000,6.1e+09,,939601000,1408247000,255331000,951707000,41000,70080000,354980000,14260000,169210000,783760000,14350000,,1990179932,2072681000,14541000,-3.9e+07,,,
"AZ","Azerbaijan",2013,,2512061982,4301836471,5723938429,,1941837000,526593543.3,135768162.1,877546000,28486897.41,381380000,326130000,13200000,264090000,595620000,20300000,,1646953070,1815902033,0,0,,,
"BH","Bahrain",2000,,691634900,,18214232.92,,,0,0,,0,7250000,98600000,0,360000,0,0,,,1921399193,,,,,
"BH","Bahrain",2001,,154455533.8,,415291037.9,,,0,0,,2363394.702,8580000,120290000,0,530000,-2550000,0,,,2480699076,,,,,
"BH","Bahrain",2002,,413145277.3,,362008423.1,,,0,0,,696732610.6,7040000,100610000,0,0,0,0,,,1660033926,,,,,
"BH","Bahrain",2003,,905719897.2,,1299514720,,,0,0,,418008703.1,7200000,182490000,0,0,30380000,0,,,1893123603,,,,,
"BH","Bahrain",2004,,1366570560,,1635570935,,,0,0,,32968607.4,9400000,80230000,0,0,0,0,,,1768802342,,,,,
"BH","Bahrain",2005,,1456139991,,1576530972,,,0,0,,2500898624,0,0,0,0,0,0,,,1698768440,,,,,
"BH","Bahrain",2006,,3718637128,,1250289947,,,0,0,,170731859.3,0,0,0,0,0,0,,,1952963076,,,,,
"BH","Bahrain",2007,,2066076209,,1963758033,,,0,0,,163257180.5,0,0,0,0,0,0,,,1744484235,,,,,
"BH","Bahrain",2008,,1894981475,,1711804615,,,0,0,,165196309.5,0,0,0,0,0,0,,,1874494526,,,,,
"BH","Bahrain",2009,,312263134.9,,-2175185602,,,0,0,,-591588483.2,0,0,0,0,0,0,,,1688868868,,,,,
"BH","Bahrain",2010,,176125720.4,,377498131.1,,,0,0,,1867653970,0,0,0,0,0,0,,,1855331181,,,,,
"BH","Bahrain",2011,,797642985.2,,912833934,,,0,0,,1003030620,0,0,0,0,0,0,,,2094084513,,,,,
"BH","Bahrain",2012,,891223404.3,,922340425.5,,,0,0,,1382978723,0,0,0,0,0,0,,,2074468085,,,,,
"BH","Bahrain",2013,,955661599.7,,1017093316,,,0,0,,1339160015,0,0,0,0,0,0,,,,,,,,
"BD","Bangladesh",2000,,868909393.4,223679014.3,226682295.8,,634758679.4,100285574.7,0,215108126,1798788.403,659390000,2444960000,203020000,30020000,28910000,9380000,,6619652439,6574508.532,29005439.2,103999980.1,,,
"BD","Bangladesh",2001,,556291034.2,274985761.9,307314577.6,,576576788.4,100534770.1,154209471.8,215083851.9,-5453551.912,660390000,2326320000,202860000,238090000,236700000,12580000,,6962862272,5806171.812,21817097.12,8181411.42,,,
"BD","Bangladesh",2002,,514410590.2,201647441,208071501.8,547312008.5,618382181.5,4374628.759,116515779,216149438.8,-2138890.942,651610000,2045720000,209900000,57120000,55150000,11180000,,9368762657,8985601.85,16336591.25,279083433.8,,448623956.3,
"BD","Bangladesh",2003,,528101206.9,267861242.2,277209500.5,0,543037077.2,14673750.02,56687735.2,209226829.9,2457809.093,518110000,2364530000,190760000,63310000,70080000,10620000,,9900088033,10657862.18,17030867.71,94324805.75,,1250806354,
