id,sectoral,level,name,color-id
codelco-revenues,FALSE,4,Codelco Revenues,
commercial,FALSE,4,Commercial,
commercial-bank-loans,FALSE,3,Commercial bank loans,
commercial-banking-system,FALSE,3,Commercial Banking System,
commercial-banks,FALSE,3,Commercial banks,
commercial-borrowing,FALSE,3,Commercial Borrowing,
common-charges,FALSE,4,Common Charges,
common-reserves,FALSE,3,Common Reserves,
compact-special,FALSE,4,Compact Special,
companies-income-tax,FALSE,4,Companies Income Tax,
company-income-tax,FALSE,4,Company Income Tax,
company-tax,FALSE,4,Company Tax,
compensation-of-employees,FALSE,3,Compensation of Employees,
compensation-to-employees,FALSE,3,Compensation to Employees,
concessional-borrowing,FALSE,3,Concessional Borrowing,
concessional-loans,FALSE,3,Concessional Loans,
concessional-project-loans,FALSE,4,Concessional Project Loans,
conditional-grants,FALSE,5,Conditional Grants,
consolidated-fund,FALSE,3,Consolidated Fund,
consolidated-investment-fund,FALSE,2,Consolidated Investment Fund,grey-mid
consolidation-bonds,FALSE,3,Consolidation Bonds,
constitutional-reform,FALSE,3,Constitutional Reform,
consumption,FALSE,3,Consumption,
consumption-and-sales-tax,FALSE,4,Consumption and Sales Tax,
consumption-of-fixed-capital,FALSE,3,Consumption of fixed capital,
consumption-taxes,FALSE,4,Consumption Taxes,
contingencies,FALSE,3,Contingencies,
contingency,FALSE,2,Contingency,
contingency-allocation,FALSE,3,Contingency Allocation,
contributions-to-sinking-funds,FALSE,3,Contributions To Sinking Funds,
corporate-income,FALSE,4,Corporate Income,
corporate-income-tax,FALSE,4,Corporate Income Tax,
corporate-income-taxes,FALSE,4,Corporate Income Taxes,
corporate-profit-tax,FALSE,5,Corporate Profit Tax,
corporate-social-responsibility-tax,FALSE,4,Corporate Social Responsibility Tax,
corporate-tax,FALSE,4,Corporate Tax,
corporate-taxes,FALSE,5,Corporate Taxes,
counterpart-fundsfinanced,FALSE,3,Counterpart Funds-Financed,
counterpart-fundsfinanced-operations,FALSE,3,Counterpart Funds-Financed Operations,
crisisrelated-expenditure,FALSE,3,Crisis-Related Expenditure,
crude-oil-export-revenues,FALSE,3,Crude Oil Export Revenues,
crude-oil-exports,FALSE,4,Crude Oil Exports,
currency-and-deposits,FALSE,3,Currency and deposits,
current,FALSE,3,Current,
current-charges-on-public-debt,FALSE,3,Current Charges on Public Debt,
current-expenditure,FALSE,2,Current expenditure,
current-expenditure-of-caja-del-seguro-social,FALSE,3,Current Expenditure of Caja del Seguro Social,
current-grants,FALSE,3,Current Grants,
current-maintenance,FALSE,3,Current Maintenance,
current-revenue,FALSE,3,Current Revenue,
current-transfers,FALSE,3,Current Transfers,
custom-duties,FALSE,4,Custom Duties,
custom-taxes,FALSE,5,Custom Taxes,
customs,FALSE,4,Customs,
customs-administration,FALSE,4,Customs Administration,
customs-and-excise,FALSE,4,Customs and Excise,
customs-and-excise-duties,FALSE,5,Customs and Excise Duties,
customs-department,FALSE,5,Customs Department,
customs-duties,FALSE,3,Customs Duties,
customs-duties-and-export-taxes,FALSE,4,Customs Duties and Export Taxes,
customs-levies,FALSE,4,Customs Levies,
customs-levies-funds,FALSE,5,Customs Levies Funds,
customs-receipts,FALSE,4,Customs Receipts,
customs-union-receipts,FALSE,4,Customs Union Receipts,
debt-buyback,FALSE,3,Debt Buyback,
debt-cancellation,FALSE,3,Debt Cancellation,
debt-deferral,FALSE,3,Debt Deferral,
debt-reduction,FALSE,3,Debt Reduction,
debt-relief,FALSE,3,Debt Relief,
debt-relief-and-budget-support,FALSE,3,Debt Relief and Budget Support,
debt-relief-and-heavily-indebted-poor-countries--initiative-assistance,FALSE,3,Debt Relief and Heavily Indebted Poor Countries  Initiative Assistance,
debt-relief-obtained,FALSE,3,Debt relief Obtained,
debt-rescheduling,FALSE,2,Debt Rescheduling,grey-mid
debt-securities,FALSE,3,Debt Securities,
debt-service-relief,FALSE,3,Debt Service Relief,
debtrelief-financed,FALSE,4,Debt-Relief Financed,
dedicated-grants,FALSE,3,Dedicated Grants,
defense,FALSE,3,Defense,
defense-and-national-security-intelligence-service,FALSE,3,Defense and National Security Intelligence Service,
defense-and-security,FALSE,4,Defense and Security,
defense-spending,FALSE,3,Defense Spending,
deferred-wages,FALSE,4,Deferred wages,
demobilization-and-reintegration--project,FALSE,3,Demobilization and Reintegration  Project,
deposit-finance,FALSE,3,Deposit Finance,
deposit-money-banks,FALSE,3,Deposit Money Banks,
deposits-abroad,FALSE,4,Deposits Abroad,
deposits-decrease,FALSE,2,Deposits decrease,
development,FALSE,3,Development,
development-budget,FALSE,2,Development Budget,
development-capital,FALSE,3,Development Capital,
development-expenditure,FALSE,2,Development Expenditure,
development-expenditure-and-net-lending,FALSE,2,Development Expenditure And Net Lending,
development-fund,FALSE,3,Development Fund,
diamond-and-other-mineral-royalties,FALSE,4,Diamond and Other Mineral Royalties,
diamond-mining,FALSE,5,Diamond Mining,
direct-and-indirect-taxes,FALSE,4,Direct and Indirect Taxes,
direct-bank-borrowing,FALSE,3,Direct Bank Borrowing,
direct-investment,FALSE,3,Direct Investment,
direct-tax,FALSE,4,Direct Tax,
direct-taxes,FALSE,4,Direct taxes,
disbursement,FALSE,3,Disbursement,
disbursements,FALSE,3,Disbursements,
discrepancy,FALSE,2,Discrepancy,grey-mid
discrepancy--reserve-fund,FALSE,2,Discrepancy  Reserve Fund,
discrepancy-unexplained,FALSE,3,Discrepancy Unexplained,grey-mid
divestment-deposit-drawdown,FALSE,2,divestment deposit drawdown,
divestmentprivatization-proceeds,FALSE,2,DivestmentPrivatization Proceeds,
dividend-and-interest-income,FALSE,4,Dividend and Interest Income,
dividends,FALSE,4,Dividends,
dividends-from-holdings,FALSE,5,Dividends From Holdings,
dividends-from-parastatals,FALSE,4,Dividends From Parastatals,
domestic,FALSE,3,Domestic,
domestic--interest,FALSE,4,Domestic  Interest,
domestic-amortization,FALSE,3,Domestic Amortization,
domestic-arrears,FALSE,3,Domestic Arrears,
domestic-arrears-payments,FALSE,2,Domestic Arrears Payments,
domestic-bank-financing,FALSE,3,Domestic Bank Financing,
domestic-banking-system,FALSE,3,Domestic Banking System,
domestic-borrowing,FALSE,3,Domestic Borrowing,
domestic-capital-participation,FALSE,3,Domestic Capital Participation,
domestic-claims,FALSE,3,Domestic Claims,
domestic-crude,FALSE,4,Domestic Crude,
domestic-currency-debt,FALSE,4,Domestic Currency Debt,
domestic-debt,FALSE,3,Domestic Debt,
domestic-financed,FALSE,3,Domestic Financed,
domestic-financed-reconstruction-expenditure,FALSE,4,Domestic Financed Reconstruction Expenditure,
domestic-financing,FALSE,2,Domestic Financing,red-high
domestic-funds,FALSE,3,Domestic Funds,
domestic-indirect-taxes,FALSE,5,Domestic Indirect Taxes,
domestic-interest,FALSE,4,Domestic Interest,
domestic-interest-payments,FALSE,4,Domestic Interest Payments,
domestic-market-borrowing,FALSE,3,Domestic Market Borrowing,
domestic-nonbank-financing,FALSE,3,Domestic Non-Bank Financing,
domestic-petroleum-taxes,FALSE,4,Domestic Petroleum Taxes,
domestic-revenues,FALSE,3,Domestic Revenues,
domestic-sales,FALSE,4,Domestic Sales,
domestic-taxes,FALSE,3,Domestic Taxes,
domestic-taxes-on-goods-and-services,FALSE,4,Domestic Taxes on Goods and Services,
domestically-financed,FALSE,3,Domestically Financed,
domestically-financed-capital-spending,FALSE,3,Domestically Financed Capital Spending,
domestically-financed-investment,FALSE,3,Domestically Financed Investment,
domesticallyfinanced,FALSE,3,Domestically-Financed,
donor-project,FALSE,2,Donor Project,
drawdown-from-compact-trust-fund,FALSE,4,Drawdown from Compact Trust Fund,
drawdown-of-tajikistans-claim-on-community-based-rehabilitation,FALSE,3,Drawdown of TajikistanS Claim on Community Based Rehabilitation,
drawing,FALSE,3,Drawing,
drawings,FALSE,3,Drawings,
drawings-adjustment-loans,FALSE,3,Drawings Adjustment Loans,
drought-expenditures,FALSE,3,Drought Expenditures,
earmarked-revenue,FALSE,4,Earmarked Revenue,
east-caribbean-central-bank,FALSE,3,East Caribbean Central Bank,
eastern-caribbean-central-bank,FALSE,3,Eastern Caribbean Central Bank,
ebolarelated,FALSE,3,Ebola-Related,
economic-governance-and-private-sector-development,FALSE,3,Economic Governance and Private Sector Development,
economy,FALSE,2,Economy,
education,FALSE,3,Education,
education-development-tax,FALSE,3,Education Development Tax,
education-fund,FALSE,5,Education Fund,
education-funding,FALSE,5,Education Funding,
education-swap,FALSE,4,Education Swap,
election-costs,FALSE,4,Election Costs,
elections,FALSE,3,Elections,
elections-and-other-political-institutions,FALSE,4,Elections and Other Political Institutions,
electricity,FALSE,4,Electricity,
electricity-transfers,FALSE,4,Electricity Transfers,
emergency-and-contingency-fund,FALSE,4,Emergency and contingency fund,
emergency-assistance,FALSE,3,Emergency Assistance,
emergency-assistance-food-and-nonfood-aid,FALSE,3,Emergency Assistance Food and Nonfood Aid,
emergency-assistance-food-and-other-emergency-aid,FALSE,3,Emergency Assistance Food and Other Emergency Aid,
employment-contributions,FALSE,3,Employment Contributions,
employment-costs,FALSE,4,Employment Costs,
employment-fund,FALSE,4,Employment Fund,
energy-guarantees,FALSE,4,Energy Guarantees,
energy-sector,FALSE,4,Energy Sector,
energy-subsidies,FALSE,4,Energy Subsidies,
enterprise-income-tax,FALSE,5,Enterprise Income Tax,
enterprise-profits-tax,FALSE,5,Enterprise Profits Tax,
entrepreneurial-and-property-income,FALSE,4,Entrepreneurial and Property Income,
enviromental,FALSE,3,Enviromental,
equity-and-investment-fund-shares,FALSE,3,Equity and investment fund shares,
equity-investment,FALSE,2,Equity Investment,
errors-and-omissions,FALSE,2,Errors and Omissions,grey-mid
estimated-sustainable-income,FALSE,3,Estimated Sustainable Income,
eurobond,FALSE,3,Eurobond,
exceptional--external-financing,FALSE,3,Exceptional  External Financing,
exceptional-expenditure,FALSE,3,Exceptional Expenditure,
exceptional-financing,FALSE,2,Exceptional financing,grey-mid
exceptional-security,FALSE,4,Exceptional Security,
exceptional-spending,FALSE,4,Exceptional Spending,
excise,FALSE,4,Excise,
excise-and-others,FALSE,4,Excise and Others,
excise-customs-and-others,FALSE,4,Excise Customs and Others,
excise-duties,FALSE,4,Excise Duties,
excise-tax,FALSE,4,Excise Tax,
excise-taxes,FALSE,4,Excise Taxes,
excises,FALSE,4,Excises,
excises-and-other-internal-indirect-taxes,FALSE,5,Excises and Other Internal Indirect Taxes,
excises-on-petroleum-products,FALSE,5,Excises on Petroleum Products,
exeptional-finanancing,FALSE,3,Exeptional finanancing,
exonerations,FALSE,4,Exonerations,
expenditure-by-the-privatization-fund,FALSE,2,Expenditure by The Privatization Fund,
expenditures-on-goods--and-services,FALSE,3,Expenditures on Goods  and Services,
expense,FALSE,2,Expense,
expense-not-elsewhere-classified,FALSE,3,Expense not Elsewhere Classified,
explicit-fuel-subsidy,FALSE,3,Explicit Fuel Subsidy,
export-taxes,FALSE,6,Export Taxes,
expropriation,FALSE,3,Expropriation,
extarnaly-public-investment-program-loans,FALSE,3,Extarnaly Public Investment Program Loans,
external,FALSE,3,External,
external-amortization,FALSE,3,External Amortization,
external-arrears,FALSE,3,External Arrears,
external-arrears-and-debt-relief,FALSE,3,External Arrears and Debt Relief,
external-borrowing,FALSE,3,External Borrowing,
external-financing,FALSE,2,External Financing,blue-high
external-interest,FALSE,4,External Interest,
external-interest-payment-cash,FALSE,3,External Interest Payment Cash,
external-interest-payments,FALSE,4,External Interest Payments,
external-project-grants,FALSE,3,External Project Grants,
external-project-loans,FALSE,3,External Project Loans,
external-public-sector-investment-programme,FALSE,3,External Public Sector Investment Programme,
external-services,FALSE,4,External Services,
externally-financed,FALSE,3,Externally Financed,
externally-financed-public-investment-program,FALSE,3,Externally Financed Public Investment Program,
externally-financed-public-investment-program-grants,FALSE,3,Externally Financed Public Investment Program Grants,
externally-financed-special-programs,FALSE,3,Externally Financed Special Programs,
extrabudgetary-capital-expenditure,FALSE,3,Extrabudgetary Capital Expenditure,
extrabudgetary-current-expenditure,FALSE,3,Extrabudgetary Current Expenditure,
extrabudgetary-expenditure,FALSE,2,Extrabudgetary Expenditure,
extrabudgetary-expenditure-financed-by-grants,FALSE,2,Extrabudgetary Expenditure Financed By Grants,
extrabudgetary-expenditures,FALSE,3,Extrabudgetary Expenditures,
extrabudgetary-funds,FALSE,2,Extrabudgetary Funds,
extrabudgetary-revenue,FALSE,3,Extrabudgetary Revenue,
extraction-royalty,FALSE,4,Extraction Royalty,
extraordinary-transfers,FALSE,3,Extraordinary Transfers,
federal,FALSE,4,Federal,
federal-excise-duty,FALSE,5,Federal Excise Duty,
federal-government-capital-expenditure,FALSE,3,Federal Government Capital Expenditure,
federal-government-exoenditure,FALSE,2,Federal Government Exoenditure,
federal-government-expenditure,FALSE,3,Federal Government Expenditure,
federal-government-extrabudgetary-funds,FALSE,3,Federal Government Extrabudgetary Funds,
federal-government-independent-revenue,FALSE,4,Federal Government Independent Revenue,
federal-government-recurrent-expenditure,FALSE,3,Federal Government Recurrent Expenditure,
federal-government-tax-revenue,FALSE,4,Federal Government Tax Revenue,
federal-nontax,FALSE,4,Federal Nontax,
fees,FALSE,4,Fees,
fees-and-charges,FALSE,4,Fees and Charges,
fees-and-penalties,FALSE,4,Fees and Penalties,
fees-fines-and-permits,FALSE,4,Fees Fines and Permits,
fertilizer-and-seed-subsidy,FALSE,4,Fertilizer and Seed Subsidy,
fertilizer-support-program,FALSE,5,Fertilizer Support Program,
fiji-sugar-corporation-fsc,FALSE,2,Fiji Sugar Corporation Fsc,
finance-gap,FALSE,2,Finance gap,
financed-by-oilforfood-program,FALSE,4,Financed by Oil-For-Food Program,
financi-al-a-s-sets-and-others,FALSE,4,Financi Al A S Sets And Others,
financial-derivatives-and-employee-stock-options,FALSE,3,Financial derivatives and employee stock options,
financial-income,FALSE,4,Financial Income,
financial-system,FALSE,3,Financial System,
financing,FALSE,1,Financing,purple-high
financing-arrangement-on-fuel-purchase,FALSE,3,Financing Arrangement on Fuel Purchase,
fines-and-forfeits,FALSE,5,Fines and Forfeits,
fishing-access-revenue,FALSE,4,Fishing Access Revenue,
fishing-license-fees,FALSE,4,Fishing License Fees,
fixed-capital-formation,FALSE,3,Fixed Capital Formation,
float,FALSE,2,Float,
floating-debtarrears,FALSE,3,Floating debtarrears,
fonds-de-soutien--lnergie,FALSE,3,Fonds De Soutien  Lnergie,
food-account,FALSE,3,Food account,
food-security,FALSE,3,Food Security,
food-subsidy,FALSE,3,Food Subsidy,
fooddebt-relief-grants,FALSE,3,Fooddebt relief grants,
for-budget-support,FALSE,3,For Budget Support,
for-investment,FALSE,3,For Investment,
foreign,FALSE,3,Foreign,
foreign-asset-acquisition,FALSE,3,Foreign Asset Acquisition,
foreign-bank-accounts,FALSE,3,Foreign bank accounts,
foreign-commercial-banks,FALSE,4,Foreign Commercial Banks,
foreign-currency-debt,FALSE,4,Foreign Currency Debt,
foreign-financed,FALSE,3,Foreign Financed,
foreign-financed-capital-spending,FALSE,3,Foreign Financed Capital Spending,
foreign-interest,FALSE,4,Foreign Interest,
foreign-investment-projects,FALSE,3,Foreign Investment Projects,
foreign-nonbanks-including--trade-credit,FALSE,4,Foreign Nonbanks Including  Trade Credit,
foreign-trade,FALSE,4,Foreign Trade,
foreignfinanced,FALSE,3,Foreign-Financed,
foreignfinanced-current-expenditure,FALSE,3,Foreign-Financed Current Expenditure,
foreignfinanced-current-spending,FALSE,3,Foreign-Financed Current Spending,
foreignfinanced-investment,FALSE,3,Foreign-Financed Investment,
foreignfinanced-project-maintenance,FALSE,3,Foreign-Financed Project Maintenance,
fuel,FALSE,5,Fuel,
fuel-subsidies,FALSE,3,Fuel Subsidies,
fuel-subsidy,FALSE,4,Fuel Subsidy,
gas-infrastructure-development-cess,FALSE,5,Gas Infrastructure Development Cess,
gas-sales,FALSE,4,Gas Sales,
gas-subsidy,FALSE,4,Gas Subsidy,
gas-surcharges-and-other,FALSE,5,Gas Surcharges and Other,
general,FALSE,4,General,
general-goods-and-services-tax,FALSE,5,General Goods and Services Tax,
general-sales-tax,FALSE,4,General Sales Tax,
generic-goods-and-services,FALSE,4,Generic Goods and Services,
global-fund,FALSE,4,Global Fund,
gnrale-de-compensation-food,FALSE,4,Gnrale De Compensation Food,
gold-financing-loan,FALSE,4,Gold Financing Loan,
goods-and-services,FALSE,3,Goods And Services,
goods-and-services-and-transfers,FALSE,3,Goods and Services and Transfers,
goods-and-services-incl-utilities,FALSE,3,Goods and Services Incl Utilities,
goods-and-services-nonoil-sector,FALSE,3,Goods and Services (Nonoil Sector),
goods-and-services-oil-sector,FALSE,3,Goods and Services Oil Sector,
goods-and-services-tax,FALSE,4,Goods And Services Tax,
governance-rule-of-law-and-human-rights,FALSE,3,Governance Rule of Law and Human Rights,
government-------institutions,FALSE,3,Government       Institutions,
government-crude-receipts,FALSE,4,Government Crude Receipts,
government-deposits,FALSE,3,Government Deposits,
government-deposits-abroad,FALSE,3,Government Deposits Abroad,
government-share-from-oil-exports,FALSE,4,Government Share from Oil Exports,
grant-financed-reconstruction-expenditure,FALSE,4,Grant Financed Reconstruction Expenditure,
grantfinanced,FALSE,3,Grant-Financed,
grants,FALSE,2,Grants,blue-high
grants-and-transfers,FALSE,3,Grants and Transfers,
grants-from-india,FALSE,3,Grants from India,
grants-to-development-budget,FALSE,3,Grants to Development Budget,
grants-to-local-government,FALSE,3,Grants to Local Government,
grants-to-operating-budget,FALSE,3,Grants To Operating Budget,
grants-to-other-government-units,FALSE,3,Grants to Other Government Units,
great-manmade-river,FALSE,3,Great Man-Made River,
great-manmade-river-revenue,FALSE,4,Great Man-Made River Revenue,
gross-financing-gap,FALSE,3,Gross financing gap,
gross-inflow,FALSE,3,Gross Inflow,
gross-revenue-tax,FALSE,4,Gross Revenue Tax,
gross-salaries,FALSE,3,Gross Salaries,
gst-and-nonoil-excises,FALSE,5,Gst and Nonoil Excises,
guyana-reddplus-investment-fund,FALSE,4,Guyana REDD-Plus Investment Fund,
guyana-reddplus-investment-fund-projects,FALSE,3,Guyana REDD-Plus Investment Fund Projects,
health,FALSE,3,Health,
health-fund,FALSE,3,Health Fund,
health-fund-contributions,FALSE,4,Health Fund Contributions,
health-insurance,FALSE,4,Health Insurance,
health-swap,FALSE,4,Health Swap,
heavily-indebted-poor-countries-and-multilateral-debt-relief-initiative-assistance,FALSE,3,Heavily Indebted Poor Countries and Multilateral Debt Relief Initiative Assistance,
heavily-indebted-poor-countries-and-multilateral-debt-relief-initiative-current-spending,FALSE,3,Heavily Indebted Poor Countries and Multilateral Debt Relief Initiative Current Spending,
heavily-indebted-poor-countries-and-multilateral-debt-relief-initiative-financed,FALSE,4,Heavily Indebted Poor Countries and Multilateral Debt Relief Initiative financed,
heavily-indebted-poor-countries-debt-relief,FALSE,3,Heavily Indebted Poor Countries Debt Relief,
heavily-indebted-poor-countries-flow-savings,FALSE,3,Heavily Indebted Poor Countries Flow Savings,
heavily-indebted-poor-countries-grant-relief,FALSE,3,Heavily Indebted Poor Countries Grant Relief,
heavily-indebted-poor-countries-initiative-funded-expenditure,FALSE,2,Heavily Indebted Poor Countries Initiative Funded Expenditure,
heavily-indebted-poor-countries-initiative-resources,FALSE,4,Heavily Indebted Poor Countries Initiative Resources,
heavily-indebted-poor-countries-interim-relief,FALSE,2,Heavily Indebted Poor Countries Interim Relief,grey-mid
heavily-indebted-poor-countries-multilateral,FALSE,3,Heavily Indebted Poor Countries Multilateral,
highways,FALSE,3,Highways,
hipc-grant-relief,FALSE,3,Hipc Grant Relief,
households,FALSE,4,Households,
housing-compensation,FALSE,4,Housing Compensation,
housing-subsidies,FALSE,4,Housing Subsidies,
hydrocarbon-domestic-revenue,FALSE,4,Hydrocarbon Domestic Revenue,
hydrocarbon-revenue,FALSE,3,Hydrocarbon Revenue,
hydrocongo,FALSE,5,Hydrocongo,
hydropower,FALSE,5,Hydropower,
imf,FALSE,3,IMF,
imf-extended-credit-facility,FALSE,3,IMF Extended Credit Facility,
imf-transactions,FALSE,3,IMF Transactions,
implicit-fuel-subsidy,FALSE,3,Implicit Fuel Subsidy,
import-and-excise-duties,FALSE,4,Import and Excise Duties,
import-duties,FALSE,4,Import Duties,
import-duties-and-taxes,FALSE,5,Import Duties and Taxes,
import-duty,FALSE,4,Import Duty,
