ID,Colour,Detail,source-title,source-link
LR,Red,No recent census,,
LY,Green,2013-2014,World Bank metadata,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#
MG,Red,2004,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
MW,Red,2007,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
ML,Orange,2015,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
MR,Red,1985,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
MU,Green,2014,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
MA,Orange,2015,,
MZ,Orange,2010,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
NA,Green,2014,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
NE,Red,2008,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
NG,Green,2013,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
RW,Green,2013,World Programme for the Census of Agriculture and government press release,http://www.fao.org/economic/ess/ess-wca/en/ and http://www.statistics.gov.rw/about-us/news/rwanda-national-agriculture-survey-started-november-2012
ST,Green,2012,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
SN,Green,2013,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
SC,Orange,2011,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
SL,Red,1985,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
SO,Red,No recent census,,
ZA,Green,2013,,
SS,Red,No recent census,,
SD,Orange,2015,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
SZ,Red,2003,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
TZ,Red,2008,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
TG,Green,2012,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
TN,Green,2014-2015,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
UG,Orange,2008-2009,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
EH,Red,No recent census,,
ZM,Red,2000,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
ZW,Red,No recent census,,
