id,colour,detail,source-title,source-link
MW,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ML,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
MR,Green,Over 75%,,
MU,Green,Over 90%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems
MA,Orange,60-69%,Civil Registration and Vital Statistics Assessment Study in Africa,http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf
MZ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
NA,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
NE,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
NG,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
RW,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ST,Red,No CR data used for vital statistics,,
SN,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
SC,Green,Over 75%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems
SL,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
SO,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ZA,Green,Over 80%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
SS,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
SD,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
SZ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
TZ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
TG,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
TN,Green,"""Satisfactory""",,http://www.globalsummitoncrvs.org/pdf/EMRORapidAssessmentReport21March.pdf
UG,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
EH,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ZM,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ZW,Orange,Over 25%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
