series,id,type,parent,name,columns,description,default-scale,themes,map-theme,theme-order,global-picture-color-ramp,uom,uom_display,source,calculation,format,highorlow,range,interpolated,missing-donor,missing-recipient,laymans-decription,laymans-heading,source-link,staging,theme-year
country-year,spotlight-on-kenya/kenya-electricity-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-fertility-rate,simple,,Total fertility rate,"id, year, value",The number of children who would be born per woman if she were to pass through the childbearing years bearing children according to a current schedule of age-specific fertility rates,lin,kenya-health,kenya-health,13,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"3, 4, 5, 6",,NA,NA,The number of children who would be born per woman if she were to pass through the childbearing years bearing children according to a current schedule of age-specific fertility rates,Total fertility rate,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani,simple,,Improved sanitation,"id, year, value",Improved sanitation,lin,kenya-infra,kenya-infra,2,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"55, 80, 96, 98",,NA,NA,Improved sanitation,Improved sanitation,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-sani-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water,simple,,Improved water,"id, year, value",Improved water,lin,kenya-infra,kenya-infra,3,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"51, 62, 69, 76",,NA,NA,Improved water,Improved water,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-improved-water-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads,simple,,Paved roads,"id, year, value",Paved roads,lin,kenya-infra,kenya-infra,4,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"0.3, 0.8, 2, 4.5",,NA,NA,Paved roads,Paved roads,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-paved-roads-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-female-know-hiv,simple,,Percent of women who know where to get an HIV test,"id, year, value",Percent of women who know where to get an HIV test,lin,kenya-health,kenya-health,7,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"85, 90, 92.5, 95",,NA,NA,Percent of women who know where to get an HIV test,Percent of women who know where to get an HIV test,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-female-tested-hiv,simple,,Percent of women tested for HIV,"id, year, value",Percent of women tested for HIV in the last 12 months,lin,kenya-health,kenya-health,6,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 55, 60",,NA,NA,Percent of women tested for HIV in the last 12 months,Percent of women tested for HIV,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-house-malaria-nets,simple,,Percent of households with at least one bed net for every two people,"id, year, value",Percent of households with at least one insecticide-treated bed net for every two person staying in the household the previous night,lin,kenya-health,kenya-health,8,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"20, 30, 40, 50",,NA,NA,Percent of households with at least one insecticide-treated bed net for every two person staying in the household the previous night,Percent of households with at least one bed net for every two people,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-male-know-hiv,simple,,Percent of men who know where to get an HIV test,"id, year, value",Percent of men who know where to get an HIV test,lin,kenya-health,kenya-health,5,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"85, 90, 92.5, 95",,NA,NA,Percent of men who know where to get an HIV test,Percent of men who know where to get an HIV test,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-male-tested-hiv,simple,,Percent of men tested for HIV,"id, year, value",Percent of men tested for HIV in the last 12 months,lin,kenya-health,kenya-health,4,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 55, 60",,NA,NA,Percent of men tested for HIV in the last 12 months,Percent of men tested for HIV,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-modern-contra,simple,,Percent using modern contraception,"id, year, value",Percent using modern contraception,lin,kenya-health,kenya-health,3,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"30, 40, 50, 60",,NA,NA,Percent using modern contraception,Percent using modern contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-no-contra,simple,,Percent not using contraception,"id, year, value",Percent not using contraception,lin,kenya-health,kenya-health,1,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"50, 60, 70, 80",,NA,NA,Percent not using contraception,Percent not using contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pc-trad-contra,simple,,Percent using traditional contraception,"id, year, value",Percent using traditional contraception,lin,kenya-health,kenya-health,2,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"2, 4, 6, 8",,NA,NA,Percent using traditional contraception,Percent using traditional contraception,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-female,simple,,Female population,"id, year, value",Female population,lin,kenya-pop,kenya-pop,4,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"250000, 350000, 450000, 550000",,NA,NA,Female population,Female population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-male,simple,,Male population,"id, year, value",Male population,lin,kenya-pop,kenya-pop,5,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"250000, 350000, 450000, 550000",,NA,NA,Male population,Male population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-pc-female,simple,,Percent female population,"id, year, value",Percent female population,lin,kenya-pop,kenya-pop,1,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"49.5, 50, 50.5, 51",,NA,NA,Percent female population,Percent female population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-pc-male,simple,,Percent male population,"id, year, value",Percent male population,lin,kenya-pop,kenya-pop,2,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"49.5, 50, 50.5, 51",,NA,NA,Percent male population,Percent male population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-total,simple,,Total population,"id, year, value",Total population,lin,kenya-pop,kenya-pop,3,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"500000, 700000, 900000, 1000000",,NA,NA,Total population,Total population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pov,,,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-gap,simple,,Poverty gap,"id, year, value",Poverty gap,lin,kenya-pov,kenya-pov,1,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"10, 15, 20, 25",,NA,NA,Poverty gap,Poverty gap,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pov,,,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-rural-pop,simple,,Rural population,"id, year, value",Rural population,lin,kenya-pop,kenya-pop,6,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"70, 80, 84, 86",,NA,NA,Rural population,Rural population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-treat-child-diarr,simple,,Percent of children with diarrhoea treated,"id, year, value",Percent of children with diarrhoea for whom treatment was sought from a health facility/provider,lin,kenya-health,kenya-health,10,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"50, 55, 60, 65",,NA,NA,Percent of children with diarrhoea for whom treatment was sought from a health facility/provider,Percent of children with diarrhoea treated,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-treat-child-respir,simple,,Percent of children with acute respiratory infections treated,"id, year, value",Percent of children with acute respiratory infections for whom treatment was sought from a health facility/provider,lin,kenya-health,kenya-health,11,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"60, 65, 70, 75",,NA,NA,Percent of children with acute respiratory infections for whom treatment was sought from a health facility/provider,Percent of children with acute respiratory infections treated,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pop,,,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-pop,simple,,Urban population (%),"id, year, value",Urban population (%),lin,kenya-pop,kenya-pop,7,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"14, 16, 22, 34",,NA,NA,Urban population (%),Urban population (%),http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pop,,,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-weight-below-3sd,simple,,Percent of population below weight,"id, year, value",Percent of population with a body-weight less than three standard-deviations from the mean,lin,kenya-health,kenya-health,9,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"1.5, 2.5, 3.5, 4.5",,NA,NA,Percent of population with a body-weight less than three standard-deviations from the mean,Percent of population below weight,http://devinit.org,1,
